,timestamp,open,high,low,close,volume
0,1600245900000,3.474,3.474,3.474,3.474,0.0
1,1600246200000,3.474,3.474,3.474,3.474,0.0
2,1600246500000,3.442,3.442,3.442,3.442,50.1
3,1600246800000,3.442,3.442,3.442,3.442,0.0
4,1600247100000,3.442,3.442,3.442,3.442,0.0
5,1600247400000,3.442,3.442,3.442,3.442,0.0
6,1600247700000,3.44,3.44,3.44,3.44,3.0
7,1600248000000,3.44,3.44,3.44,3.44,0.0
8,1600248300000,3.44,3.44,3.44,3.44,0.0
9,1600248600000,3.44,3.44,3.44,3.44,0.0
10,1600248900000,3.44,3.44,3.44,3.44,0.0
11,1600249200000,3.44,3.44,3.44,3.44,0.0
12,1600249500000,3.44,3.44,3.44,3.44,0.0
13,1600249800000,3.44,3.44,3.44,3.44,0.0
14,1600250100000,3.44,3.44,3.44,3.44,0.0
15,1600250400000,3.44,3.44,3.44,3.44,0.0
16,1600250700000,3.43,3.471,3.43,3.471,94.79
17,1600251000000,3.434,3.434,3.434,3.434,56.25
18,1600251300000,3.434,3.434,3.434,3.434,0.0
19,1600251600000,3.434,3.434,3.434,3.434,0.0
20,1600251900000,3.423,3.423,3.396,3.396,24.9
21,1600252200000,3.396,3.396,3.396,3.396,0.0
22,1600252500000,3.396,3.396,3.396,3.396,0.0
23,1600252800000,3.396,3.396,3.396,3.396,0.0
24,1600253100000,3.396,3.396,3.396,3.396,0.0
25,1600253400000,3.317,3.317,3.251,3.251,639.21
26,1600253700000,3.272,3.272,3.272,3.272,191.91
27,1600254000000,3.272,3.272,3.272,3.272,0.0
28,1600254300000,3.27,3.293,3.254,3.254,26.66
29,1600254600000,3.254,3.254,3.254,3.254,0.0
30,1600254900000,3.257,3.297,3.257,3.297,17.64
31,1600255200000,3.297,3.297,3.297,3.297,0.0
32,1600255500000,3.286,3.286,3.286,3.286,4.3
33,1600255800000,3.286,3.286,3.286,3.286,0.0
34,1600256100000,3.286,3.286,3.286,3.286,157.5
35,1600256400000,3.296,3.296,3.198,3.252,148.38
36,1600256700000,3.252,3.252,3.206,3.206,26.29
37,1600257000000,3.187,3.234,3.187,3.234,110.2
38,1600257300000,3.234,3.234,3.234,3.234,0.0
39,1600257600000,3.3,3.3,3.271,3.271,69.91
40,1600257900000,3.234,3.234,3.234,3.234,32.44
41,1600258200000,3.234,3.234,3.234,3.234,0.0
42,1600258500000,3.234,3.234,3.234,3.234,0.0
43,1600258800000,3.234,3.234,3.234,3.234,0.0
44,1600259100000,3.322,3.322,3.322,3.322,3.78
45,1600259400000,3.322,3.322,3.322,3.322,0.0
46,1600259700000,3.344,3.345,3.295,3.295,190.72
47,1600260000000,3.305,3.325,3.295,3.325,129.24
48,1600260300000,3.374,3.374,3.336,3.337,45.0
49,1600260600000,3.295,3.295,3.295,3.295,11.6
50,1600260900000,3.295,3.295,3.295,3.295,152.0
51,1600261200000,3.256,3.256,3.256,3.256,10.77
52,1600261500000,3.256,3.256,3.231,3.231,312.44
53,1600261800000,3.19,3.19,3.19,3.19,35.1
54,1600262100000,3.19,3.19,3.19,3.19,0.0
55,1600262400000,3.204,3.204,3.199,3.199,2939.11
56,1600262700000,3.199,3.207,3.192,3.207,635.95
57,1600263000000,3.207,3.207,3.207,3.207,410.8
58,1600263300000,3.195,3.207,3.195,3.207,85.68
59,1600263600000,3.217,3.223,3.2,3.2,182.54
60,1600263900000,3.2,3.211,3.19,3.211,411.42
61,1600264200000,3.19,3.19,3.19,3.19,18.86
62,1600264500000,3.19,3.19,3.19,3.19,0.0
63,1600264800000,3.19,3.19,3.19,3.19,0.0
64,1600265100000,3.22,3.22,3.213,3.213,215.58
65,1600265400000,3.241,3.251,3.241,3.241,360.8
66,1600265700000,3.235,3.235,3.235,3.235,21.9
67,1600266000000,3.213,3.213,3.195,3.195,541.4
68,1600266300000,3.226,3.226,3.226,3.226,9.46
69,1600266600000,3.19,3.19,3.16,3.16,1571.93
70,1600266900000,3.16,3.16,3.16,3.16,0.0
71,1600267200000,3.204,3.204,3.204,3.204,50.0
72,1600267500000,3.202,3.202,3.202,3.202,169.81
73,1600267800000,3.187,3.187,3.179,3.179,400.0
74,1600268100000,3.179,3.179,3.179,3.179,0.0
