,timestamp,open,high,low,close,volume
0,1600167000000,5.4124,5.4688,5.4124,5.4679,4274.84
1,1600167300000,5.4694,5.4907,5.4643,5.4754,2112.68
2,1600167600000,5.4711,5.4733,5.4,5.4052,4402.31
3,1600167900000,5.4001,5.4261,5.3997,5.3997,2505.26
4,1600168200000,5.3995,5.4051,5.3775,5.3775,2102.31
5,1600168500000,5.3827,5.3829,5.2719,5.2734,13517.52
6,1600168800000,5.2736,5.325,5.2719,5.2874,11051.82
7,1600169100000,5.2868,5.3531,5.2851,5.3134,7170.2
8,1600169400000,5.3316,5.3418,5.2924,5.2925,3654.5
9,1600169700000,5.2978,5.3014,5.2715,5.277,3392.01
10,1600170000000,5.2742,5.2855,5.26,5.2728,1164.64
11,1600170300000,5.26,5.2922,5.2506,5.2781,978.71
12,1600170600000,5.2775,5.3192,5.2697,5.3068,2357.19
13,1600170900000,5.3031,5.306,5.2949,5.3029,775.46
14,1600171200000,5.306,5.3291,5.3059,5.3132,1297.85
15,1600171500000,5.3273,5.33,5.3243,5.33,906.33
16,1600171800000,5.3298,5.3298,5.3132,5.3252,889.1
17,1600172100000,5.3133,5.3133,5.2883,5.3006,990.51
18,1600172400000,5.3119,5.3191,5.3007,5.3191,1218.78
19,1600172700000,5.33,5.3555,5.3077,5.3077,6201.3
20,1600173000000,5.3153,5.3377,5.2799,5.3007,4201.58
21,1600173300000,5.3008,5.3138,5.2819,5.3133,1236.59
22,1600173600000,5.2958,5.3012,5.2874,5.3012,130.18
23,1600173900000,5.2953,5.3068,5.2841,5.2841,1432.21
24,1600174200000,5.2841,5.2841,5.2597,5.2705,615.77
25,1600174500000,5.2596,5.2602,5.166,5.1667,9837.02
26,1600174800000,5.1787,5.1996,5.1676,5.1895,3578.14
27,1600175100000,5.1814,5.1944,5.15,5.155,3108.21
28,1600175400000,5.1501,5.1664,5.1401,5.1546,3216.94
29,1600175700000,5.1469,5.1541,5.1432,5.146,554.48
30,1600176000000,5.1542,5.1627,5.115,5.1159,4976.51
31,1600176300000,5.1158,5.1159,5.0478,5.0595,15312.44
32,1600176600000,5.082,5.0985,5.0776,5.0888,1915.54
33,1600176900000,5.0941,5.0941,5.0462,5.0462,3636.36
34,1600177200000,5.0515,5.0592,5.0293,5.0585,4308.61
