,timestamp,open,high,low,close,volume
0,1600167000000,5.355,5.362,5.312,5.321,13046.09
1,1600167300000,5.323,5.371,5.323,5.368,9765.52
2,1600167600000,5.368,5.377,5.347,5.366,10547.978
3,1600167900000,5.358,5.362,5.352,5.352,1216.588
4,1600168200000,5.353,5.353,5.339,5.341,2651.168
5,1600168500000,5.347,5.359,5.338,5.338,900.677
6,1600168800000,5.342,5.36,5.342,5.347,5254.259
7,1600169100000,5.348,5.368,5.347,5.352,2431.848
8,1600169400000,5.349,5.355,5.323,5.326,5298.072
9,1600169700000,5.322,5.336,5.311,5.333,4453.107
10,1600170000000,5.331,5.337,5.308,5.336,8779.306
11,1600170300000,5.336,5.336,5.322,5.322,2155.891
12,1600170600000,5.316,5.33,5.316,5.325,1411.916
13,1600170900000,5.332,5.332,5.311,5.314,5332.615
14,1600171200000,5.311,5.327,5.311,5.317,2849.432
15,1600171500000,5.315,5.342,5.311,5.319,5467.793
16,1600171800000,5.322,5.34,5.316,5.34,1236.505
17,1600172100000,5.337,5.337,5.315,5.328,4385.719
18,1600172400000,5.332,5.344,5.319,5.338,19521.091
19,1600172700000,5.332,5.339,5.324,5.334,16769.952
20,1600173000000,5.34,5.366,5.317,5.327,7544.161
21,1600173300000,5.33,5.355,5.324,5.331,11170.479
22,1600173600000,5.33,5.337,5.309,5.328,4632.394
23,1600173900000,5.318,5.318,5.294,5.312,5769.336
24,1600174200000,5.311,5.428,5.311,5.415,47461.708
25,1600174500000,5.415,5.453,5.41,5.41,16587.314
26,1600174800000,5.411,5.419,5.373,5.387,10422.356
27,1600175100000,5.387,5.387,5.333,5.354,10909.144
28,1600175400000,5.354,5.387,5.354,5.381,8031.213
29,1600175700000,5.381,5.381,5.359,5.366,5570.487
30,1600176000000,5.365,5.374,5.338,5.349,6363.811
31,1600176300000,5.347,5.358,5.337,5.338,4344.351
32,1600176600000,5.34,5.362,5.312,5.323,13873.482
33,1600176900000,5.325,5.329,5.308,5.31,3166.59
34,1600177200000,5.312,5.317,5.282,5.299,8432.733
35,1600177500000,5.294,5.297,5.279,5.286,2238.978
36,1600177800000,5.281,5.281,5.253,5.259,15731.079
37,1600178100000,5.264,5.275,5.233,5.233,6233.96
38,1600178400000,5.239,5.241,5.201,5.214,4305.727
39,1600178700000,5.21,5.241,5.204,5.205,13613.487
40,1600179000000,5.208,5.21,5.165,5.178,9562.413
41,1600179300000,5.178,5.219,5.164,5.213,18113.294
42,1600179600000,5.219,5.219,5.189,5.189,6041.332
