,timestamp,open,high,low,close,volume
0,1600167000000,0.3266,0.3266,0.3266,0.3266,612.37
1,1600167300000,0.3253,0.3268,0.3253,0.3268,7088.81
2,1600167600000,0.3268,0.3276,0.326,0.3275,4958.75
3,1600167900000,0.3275,0.3275,0.3275,0.3275,0.0
4,1600168200000,0.3255,0.3257,0.3255,0.3256,5587.26
5,1600168500000,0.3257,0.327,0.3256,0.3262,3379.65
6,1600168800000,0.3272,0.3277,0.3257,0.3257,3610.96
7,1600169100000,0.3253,0.3253,0.3253,0.3253,161.81
8,1600169400000,0.3261,0.3261,0.3261,0.3261,502.43
9,1600169700000,0.3258,0.3258,0.3257,0.3258,610.87
10,1600170000000,0.3258,0.3258,0.3258,0.3258,795.34
11,1600170300000,0.3258,0.3258,0.3258,0.3258,0.0
12,1600170600000,0.3262,0.3283,0.3262,0.3272,3242.02
13,1600170900000,0.3278,0.3299,0.3278,0.3299,599.99
14,1600171200000,0.3297,0.33,0.3289,0.329,1664.67
15,1600171500000,0.3299,0.331,0.3294,0.3307,8701.63
16,1600171800000,0.331,0.331,0.3305,0.3305,214.98
17,1600172100000,0.331,0.333,0.331,0.333,3444.27
18,1600172400000,0.3328,0.3328,0.3324,0.3324,554.5
19,1600172700000,0.332,0.3325,0.332,0.3324,1292.08
20,1600173000000,0.333,0.3331,0.3327,0.3329,375.84
21,1600173300000,0.3332,0.3332,0.3332,0.3332,270.86
22,1600173600000,0.334,0.334,0.3334,0.3334,678.27
23,1600173900000,0.333,0.3343,0.333,0.3337,1549.41
24,1600174200000,0.3342,0.3343,0.3342,0.3343,1816.22
25,1600174500000,0.3342,0.3348,0.3336,0.3348,1156.82
26,1600174800000,0.3348,0.3348,0.3348,0.3348,1052.42
27,1600175100000,0.3348,0.3355,0.3335,0.3335,3855.77
28,1600175400000,0.3334,0.3341,0.3325,0.3341,13094.44
29,1600175700000,0.3329,0.3341,0.3326,0.3341,442.47
30,1600176000000,0.3341,0.3342,0.333,0.334,924.62
31,1600176300000,0.334,0.334,0.333,0.333,574.05
32,1600176600000,0.333,0.333,0.333,0.333,565.43
