,timestamp,open,high,low,close,volume
0,1600198500000,3.26,3.26,3.189,3.19,2762.49
1,1600198800000,3.21,3.23,3.21,3.23,2666.1
2,1600199100000,3.232,3.251,3.201,3.204,1466.79
3,1600199400000,3.206,3.23,3.206,3.216,2351.06
4,1600199700000,3.23,3.25,3.23,3.25,868.07
5,1600200000000,3.27,3.27,3.254,3.269,1328.68
6,1600200300000,3.254,3.255,3.248,3.255,90.95
7,1600200600000,3.255,3.255,3.213,3.221,9169.39
8,1600200900000,3.211,3.249,3.201,3.249,305.32
9,1600201200000,3.23,3.23,3.225,3.225,1508.04
10,1600201500000,3.227,3.23,3.216,3.23,1150.91
11,1600201800000,3.242,3.266,3.231,3.238,1751.25
12,1600202100000,3.263,3.266,3.251,3.251,440.03
13,1600202400000,3.265,3.3,3.251,3.3,1012.67
14,1600202700000,3.295,3.332,3.28,3.332,2882.61
15,1600203000000,3.33,3.33,3.299,3.3,1242.42
16,1600203300000,3.288,3.3,3.288,3.291,3721.16
17,1600203600000,3.29,3.325,3.29,3.297,1162.55
18,1600203900000,3.297,3.325,3.293,3.325,693.77
19,1600204200000,3.304,3.304,3.291,3.291,694.24
20,1600204500000,3.293,3.322,3.276,3.295,2884.44
21,1600204800000,3.321,3.348,3.316,3.348,8974.99
22,1600205100000,3.348,3.358,3.348,3.35,6145.06
23,1600205400000,3.33,3.332,3.287,3.327,1266.09
24,1600205700000,3.306,3.306,3.267,3.267,6332.53
25,1600206000000,3.268,3.302,3.245,3.27,4102.96
26,1600206300000,3.287,3.31,3.246,3.302,1633.17
27,1600206600000,3.301,3.301,3.258,3.3,2077.37
28,1600206900000,3.3,3.317,3.29,3.312,901.18
29,1600207200000,3.282,3.304,3.28,3.297,258.37
30,1600207500000,3.281,3.313,3.281,3.313,454.0
31,1600207800000,3.285,3.285,3.255,3.255,27.84
32,1600208100000,3.257,3.259,3.237,3.259,2006.82
33,1600208400000,3.258,3.259,3.25,3.259,1825.23
34,1600208700000,3.252,3.26,3.238,3.241,8028.72
35,1600209000000,3.26,3.302,3.26,3.298,1895.52
36,1600209300000,3.297,3.297,3.261,3.261,7.19
37,1600209600000,3.264,3.289,3.258,3.289,2016.65
38,1600209900000,3.289,3.32,3.282,3.32,1922.04
39,1600210200000,3.32,3.353,3.301,3.301,6082.37
40,1600210500000,3.346,3.366,3.322,3.366,4648.63
41,1600210800000,3.343,3.389,3.343,3.385,4763.04
42,1600211100000,3.389,3.389,3.338,3.38,16516.77
43,1600211400000,3.381,3.381,3.351,3.359,2183.78
44,1600211700000,3.36,3.393,3.359,3.38,6128.06
45,1600212000000,3.387,3.45,3.387,3.426,7175.39
46,1600212300000,3.433,3.45,3.422,3.438,3002.08
47,1600212600000,3.432,3.432,3.365,3.365,3012.1
48,1600212900000,3.366,3.385,3.355,3.384,1211.83
49,1600213200000,3.356,3.388,3.356,3.388,5878.03
50,1600213500000,3.388,3.388,3.346,3.351,1575.53
51,1600213800000,3.36,3.388,3.36,3.37,1070.65
52,1600214100000,3.37,3.379,3.33,3.379,643183.32
53,1600214400000,3.379,3.4,3.337,3.337,4235.86
54,1600214700000,3.337,3.552,3.333,3.547,26377.61
55,1600215000000,3.553,3.628,3.521,3.549,8727.49
56,1600215300000,3.53,3.56,3.5,3.56,8596.87
57,1600215600000,3.556,3.63,3.493,3.562,15844.1
58,1600215900000,3.562,3.74,3.562,3.695,22367.28
59,1600216200000,3.676,3.899,3.633,3.846,21523.27
60,1600216500000,3.83,3.83,3.68,3.68,6305.47
61,1600216800000,3.679,3.736,3.658,3.729,9673.65
62,1600217100000,3.735,3.85,3.726,3.801,10632.77
63,1600217400000,3.8,3.8,3.689,3.689,3798.55
64,1600217700000,3.71,3.758,3.674,3.703,5275.3
65,1600218000000,3.704,3.75,3.697,3.729,2423.39
66,1600218300000,3.729,3.799,3.722,3.758,8978.99
67,1600218600000,3.758,3.758,3.699,3.699,3221.06
68,1600218900000,3.699,3.749,3.644,3.748,5981.24
69,1600219200000,3.748,3.78,3.737,3.75,1059.53
70,1600219500000,3.75,3.777,3.749,3.75,1253.39
71,1600219800000,3.777,3.788,3.633,3.665,7535.48
72,1600220100000,3.665,3.665,3.554,3.582,11828.44
73,1600220400000,3.61,3.642,3.574,3.605,3448.77
74,1600220700000,3.585,3.613,3.477,3.55,20028.81
75,1600221000000,3.55,3.55,3.506,3.537,5486.29
76,1600221300000,3.536,3.551,3.384,3.415,9624.75
77,1600221600000,3.43,3.56,3.416,3.55,3551.03
78,1600221900000,3.55,3.6,3.533,3.578,2133.76
79,1600222200000,3.578,3.694,3.578,3.627,3432.74
80,1600222500000,3.63,3.66,3.582,3.66,2558.85
81,1600222800000,3.654,3.697,3.628,3.693,1931.47
82,1600223100000,3.689,3.69,3.568,3.568,7065.59
83,1600223400000,3.56,3.682,3.56,3.645,991.99
84,1600223700000,3.663,3.69,3.66,3.69,364.56
85,1600224000000,3.679,3.679,3.603,3.603,513.47
86,1600224300000,3.602,3.608,3.576,3.583,1673.32
87,1600224600000,3.608,3.61,3.6,3.6,559.09
88,1600224900000,3.614,3.614,3.56,3.56,1095.47
89,1600225200000,3.56,3.6,3.552,3.6,1819.64
90,1600225500000,3.6,3.6,3.571,3.582,341.94
91,1600225800000,3.586,3.647,3.585,3.646,5274.88
92,1600226100000,3.65,3.65,3.625,3.65,1306.64
93,1600226400000,3.625,3.646,3.617,3.618,1186.53
94,1600226700000,3.618,3.619,3.586,3.619,730.23
95,1600227000000,3.616,3.616,3.55,3.55,2134.48
96,1600227300000,3.54,3.595,3.54,3.564,5804.96
97,1600227600000,3.589,3.614,3.571,3.571,1821.93
98,1600227900000,3.57,3.57,3.5,3.52,2021.42
99,1600228200000,3.5,3.513,3.467,3.513,1525.09
100,1600228500000,3.533,3.533,3.491,3.507,850.09
101,1600228800000,3.53,3.549,3.489,3.5,2631.62
102,1600229100000,3.517,3.517,3.5,3.5,372.68
103,1600229400000,3.5,3.5,3.425,3.5,2284.48
104,1600229700000,3.511,3.511,3.425,3.47,1885.66
105,1600230000000,3.443,3.505,3.443,3.46,7106.92
106,1600230300000,3.463,3.51,3.453,3.482,3179.49
107,1600230600000,3.463,3.463,3.43,3.43,206.07
108,1600230900000,3.432,3.471,3.431,3.471,1057.75
109,1600231200000,3.497,3.568,3.497,3.555,2219.19
110,1600231500000,3.547,3.554,3.501,3.512,132.22
111,1600231800000,3.518,3.554,3.518,3.554,543.26
112,1600232100000,3.55,3.579,3.519,3.519,7836.61
113,1600232400000,3.546,3.546,3.526,3.526,497.03
114,1600232700000,3.546,3.546,3.473,3.519,2174.74
115,1600233000000,3.466,3.466,3.421,3.427,2936.97
116,1600233300000,3.427,3.451,3.345,3.353,7625.88
117,1600233600000,3.348,3.348,3.21,3.21,21002.55
118,1600233900000,3.216,3.234,3.14,3.18,19900.81
119,1600234200000,3.209,3.218,3.163,3.191,5646.83
120,1600234500000,3.17,3.235,3.135,3.211,3683.08
121,1600234800000,3.22,3.291,3.211,3.236,9974.19
122,1600235100000,3.24,3.27,3.24,3.259,5929.49
123,1600235400000,3.259,3.261,3.235,3.26,11283.78
124,1600235700000,3.261,3.267,3.24,3.247,1773.28
125,1600236000000,3.251,3.26,3.232,3.24,3466.45
126,1600236300000,3.247,3.297,3.246,3.292,8072.19
127,1600236600000,3.297,3.333,3.29,3.311,6086.12
128,1600236900000,3.313,3.332,3.304,3.31,2859.16
129,1600237200000,3.3,3.333,3.291,3.333,1579.63
130,1600237500000,3.32,3.349,3.3,3.3,2136.63
131,1600237800000,3.29,3.299,3.29,3.29,9766.72
132,1600238100000,3.318,3.32,3.29,3.3,722.57
133,1600238400000,3.293,3.304,3.279,3.304,7067.06
134,1600238700000,3.306,3.311,3.252,3.253,3014.9
135,1600239000000,3.25,3.26,3.25,3.253,8345.99
136,1600239300000,3.257,3.26,3.257,3.258,742.49
137,1600239600000,3.292,3.329,3.272,3.314,3595.99
138,1600239900000,3.315,3.33,3.315,3.33,314.3
139,1600240200000,3.315,3.315,3.315,3.315,65.16
140,1600240500000,3.324,3.328,3.315,3.328,819.67
141,1600240800000,3.328,3.341,3.267,3.267,9976.32
142,1600241100000,3.323,3.33,3.323,3.33,58.34
143,1600241400000,3.31,3.311,3.299,3.3,642.26
144,1600241700000,3.286,3.313,3.286,3.301,573.76
145,1600242000000,3.301,3.33,3.3,3.32,2099.88
146,1600242300000,3.33,3.341,3.32,3.332,94.31
147,1600242600000,3.332,3.333,3.32,3.32,92.69
148,1600242900000,3.258,3.259,3.25,3.254,1741.45
149,1600243200000,3.246,3.301,3.213,3.301,2502.0
150,1600243500000,3.301,3.352,3.271,3.327,2664.41
151,1600243800000,3.306,3.33,3.306,3.32,90.1
152,1600244100000,3.353,3.406,3.346,3.371,2708.93
153,1600244400000,3.363,3.371,3.31,3.348,961.72
154,1600244700000,3.35,3.368,3.336,3.337,208.46
155,1600245000000,3.329,3.329,3.329,3.329,3.22
156,1600245300000,3.318,3.342,3.318,3.323,11615.37
157,1600245600000,3.323,3.339,3.321,3.325,883.12
158,1600245900000,3.322,3.324,3.281,3.281,2076.9
159,1600246200000,3.286,3.326,3.286,3.326,1109.85
160,1600246500000,3.326,3.326,3.29,3.315,4269.21
161,1600246800000,3.292,3.33,3.287,3.33,5214.4
162,1600247100000,3.343,3.346,3.343,3.346,2464.49
163,1600247400000,3.36,3.36,3.346,3.35,688.57
164,1600247700000,3.346,3.346,3.25,3.251,7039.17
165,1600248000000,3.258,3.293,3.227,3.293,3111.7
166,1600248300000,3.272,3.286,3.264,3.27,1309.47
167,1600248600000,3.272,3.291,3.224,3.284,702846.85
168,1600248900000,3.273,3.303,3.264,3.303,1500.04
169,1600249200000,3.3,3.33,3.3,3.329,467.99
170,1600249500000,3.33,3.361,3.325,3.361,15070.91
171,1600249800000,3.361,3.388,3.361,3.388,1049.69
172,1600250100000,3.365,3.383,3.346,3.38,3735.67
173,1600250400000,3.346,3.359,3.346,3.358,254.02
174,1600250700000,3.359,3.359,3.345,3.345,1819.36
175,1600251000000,3.333,3.345,3.33,3.345,735.58
176,1600251300000,3.357,3.37,3.357,3.37,98.15
177,1600251600000,3.35,3.35,3.304,3.33,3799.4
178,1600251900000,3.33,3.343,3.33,3.343,802.1
179,1600252200000,3.343,3.344,3.342,3.344,468.79
180,1600252500000,3.344,3.36,3.327,3.357,168.0
181,1600252800000,3.359,3.359,3.344,3.358,448.46
182,1600253100000,3.352,3.352,3.344,3.344,408.22
183,1600253400000,3.351,3.362,3.351,3.362,371.16
184,1600253700000,3.369,3.37,3.36,3.36,859.84
185,1600254000000,3.358,3.361,3.34,3.361,653.46
186,1600254300000,3.361,3.37,3.358,3.37,1138.46
187,1600254600000,3.37,3.377,3.37,3.377,1406.14
188,1600254900000,3.385,3.39,3.356,3.358,273.88
189,1600255200000,3.361,3.383,3.361,3.383,135.2
190,1600255500000,3.383,3.383,3.383,3.383,0.0
191,1600255800000,3.367,3.367,3.367,3.367,366.4
192,1600256100000,3.359,3.359,3.359,3.359,307.78
193,1600256400000,3.345,3.36,3.33,3.351,4650.75
194,1600256700000,3.351,3.362,3.335,3.362,900.29
195,1600257000000,3.357,3.376,3.347,3.347,480.86
196,1600257300000,3.336,3.34,3.31,3.31,4358.03
197,1600257600000,3.308,3.313,3.299,3.313,1612.21
198,1600257900000,3.354,3.354,3.346,3.346,11.67
199,1600258200000,3.326,3.328,3.326,3.328,44.74
200,1600258500000,3.33,3.33,3.286,3.286,1124.11
201,1600258800000,3.286,3.286,3.26,3.268,1892.38
202,1600259100000,3.266,3.275,3.242,3.275,6102.08
203,1600259400000,3.259,3.265,3.24,3.248,503.9
204,1600259700000,3.258,3.259,3.161,3.202,5562.2
205,1600260000000,3.18,3.222,3.175,3.2,2199.48
206,1600260300000,3.19,3.19,3.162,3.181,4240.42
207,1600260600000,3.163,3.236,3.163,3.224,6257.6
208,1600260900000,3.223,3.228,3.219,3.228,3828.56
209,1600261200000,3.228,3.275,3.218,3.275,4692.15
210,1600261500000,3.27,3.275,3.258,3.258,125.03
211,1600261800000,3.258,3.258,3.244,3.244,171.13
212,1600262100000,3.224,3.249,3.214,3.249,10868.76
213,1600262400000,3.208,3.208,3.203,3.205,71.68
214,1600262700000,3.205,3.205,3.156,3.156,2710.97
215,1600263000000,3.152,3.152,3.092,3.112,5026.24
216,1600263300000,3.112,3.112,3.061,3.106,3720.89
217,1600263600000,3.093,3.131,3.08,3.11,5686.61
218,1600263900000,3.116,3.152,3.081,3.087,1893.03
219,1600264200000,3.087,3.123,3.077,3.123,3001.0
220,1600264500000,3.108,3.108,3.088,3.1,1812.35
221,1600264800000,3.091,3.103,3.033,3.103,3206.12
222,1600265100000,3.107,3.142,3.107,3.11,1070.53
223,1600265400000,3.113,3.129,3.066,3.083,1555.12
224,1600265700000,3.071,3.081,3.051,3.081,2941.23
225,1600266000000,3.071,3.109,3.071,3.109,1010.54
226,1600266300000,3.102,3.111,3.075,3.084,3286.35
227,1600266600000,3.084,3.096,3.061,3.061,7208.71
228,1600266900000,3.061,3.061,3.025,3.027,4408.47
229,1600267200000,3.025,3.069,3.025,3.063,50832.42
230,1600267500000,3.069,3.085,3.069,3.075,417.8
231,1600267800000,3.09,3.113,3.082,3.1,2159.63
232,1600268100000,3.099,3.127,3.099,3.127,1692.62
233,1600268400000,3.109,3.11,3.063,3.063,1356.04
234,1600268700000,3.064,3.084,3.061,3.061,1690.3
235,1600269000000,3.072,3.117,3.067,3.117,447.84
236,1600269300000,3.127,3.146,3.117,3.117,369.72
237,1600269600000,3.122,3.134,3.122,3.13,598.27
238,1600269900000,3.134,3.134,3.1,3.1,69.78
239,1600270200000,3.076,3.076,3.061,3.071,560.18
240,1600270500000,3.072,3.084,3.072,3.076,493.94
241,1600270800000,3.092,3.113,3.092,3.096,7353.9
242,1600271100000,3.096,3.096,3.063,3.063,2080.65
243,1600271400000,3.064,3.064,3.057,3.063,460.9
244,1600271700000,3.062,3.08,3.062,3.08,537.17
245,1600272000000,3.1,3.1,3.064,3.064,3249.13
246,1600272300000,3.06,3.06,3.06,3.06,202.8
247,1600272600000,3.057,3.06,3.038,3.038,4219.15
248,1600272900000,3.037,3.043,3.025,3.027,1142.17
249,1600273200000,3.03,3.038,3.03,3.032,4281.28
250,1600273500000,3.052,3.084,3.048,3.084,1217.53
251,1600273800000,3.064,3.086,3.046,3.046,4476.98
252,1600274100000,3.04,3.04,3.025,3.025,1780.34
253,1600274400000,3.023,3.031,3.0,3.014,9168.53
254,1600274700000,3.004,3.004,2.999,3.002,7354.14
255,1600275000000,2.99,3.018,2.959,3.018,9648.58
256,1600275300000,3.044,3.045,3.028,3.03,217.37
257,1600275600000,3.045,3.055,3.037,3.055,3594.82
258,1600275900000,3.05,3.071,3.037,3.06,4431.59
259,1600276200000,3.06,3.081,3.06,3.078,3543.8
260,1600276500000,3.096,3.096,3.096,3.096,211.27
261,1600276800000,3.075,3.075,3.072,3.072,1327.54
262,1600277100000,3.061,3.075,3.055,3.075,1789.07
263,1600277400000,3.075,3.075,3.075,3.075,1626.01
264,1600277700000,3.075,3.08,3.075,3.08,635.56
265,1600278000000,3.098,3.1,3.091,3.092,3918.73
266,1600278300000,3.075,3.079,3.075,3.079,52.52
267,1600278600000,3.079,3.079,3.079,3.079,0.0
