,timestamp,open,high,low,close,volume
0,1600198500000,0.3371,0.3423,0.3364,0.3406,147965.26
1,1600198800000,0.3382,0.3386,0.3371,0.3377,24173.67
2,1600199100000,0.3382,0.3416,0.3378,0.3416,34864.71
3,1600199400000,0.3407,0.3413,0.3383,0.3392,67460.41
4,1600199700000,0.3394,0.34,0.3388,0.3397,37023.97
5,1600200000000,0.3392,0.3396,0.3357,0.3358,92329.46
6,1600200300000,0.3361,0.3388,0.3356,0.3366,47028.68
7,1600200600000,0.3376,0.3494,0.3376,0.3462,503294.37
8,1600200900000,0.3461,0.3482,0.3432,0.3454,79405.13
9,1600201200000,0.3455,0.3465,0.344,0.344,38823.39
10,1600201500000,0.3441,0.3461,0.344,0.344,49071.52
11,1600201800000,0.344,0.3465,0.344,0.3464,73359.39
12,1600202100000,0.3462,0.3499,0.3458,0.3493,186364.12
13,1600202400000,0.3493,0.3513,0.3456,0.3492,159699.18
14,1600202700000,0.3493,0.3515,0.3453,0.3494,184115.02
15,1600203000000,0.3502,0.3651,0.3502,0.3619,464084.87
16,1600203300000,0.3606,0.3613,0.3557,0.3581,175856.31
17,1600203600000,0.3585,0.3591,0.3249,0.345,978735.91
18,1600203900000,0.3441,0.3493,0.3441,0.3493,142495.93
19,1600204200000,0.3493,0.3552,0.3478,0.3531,114875.52
20,1600204500000,0.3532,0.354,0.3509,0.3539,42106.04
21,1600204800000,0.3526,0.3547,0.3514,0.3527,95601.27
22,1600205100000,0.3526,0.3531,0.3505,0.352,66084.59
23,1600205400000,0.3513,0.352,0.3482,0.3506,246667.77
24,1600205700000,0.35,0.3534,0.3485,0.353,62189.3
25,1600206000000,0.3533,0.358,0.3517,0.3518,99410.85
26,1600206300000,0.3513,0.3547,0.3474,0.3488,111431.34
27,1600206600000,0.3488,0.3539,0.3488,0.3491,90278.33
28,1600206900000,0.3491,0.3507,0.347,0.3492,130996.2
29,1600207200000,0.3478,0.3516,0.3478,0.3481,122701.06
30,1600207500000,0.3488,0.3513,0.348,0.3487,75570.92
31,1600207800000,0.3481,0.3492,0.3434,0.344,108376.34
32,1600208100000,0.3454,0.3476,0.3432,0.3445,174198.49
33,1600208400000,0.3444,0.346,0.3432,0.3455,91255.86
34,1600208700000,0.3461,0.3489,0.3454,0.3468,66679.55
35,1600209000000,0.3472,0.3472,0.3427,0.3444,52623.52
36,1600209300000,0.3444,0.3454,0.342,0.3421,47450.31
37,1600209600000,0.3434,0.3443,0.3398,0.34,97782.5
38,1600209900000,0.3401,0.3404,0.3327,0.3327,213478.45
39,1600210200000,0.3347,0.3391,0.3328,0.3355,202308.45
40,1600210500000,0.3352,0.339,0.3305,0.3326,244039.55
41,1600210800000,0.3326,0.3353,0.3204,0.3207,386658.92
42,1600211100000,0.3226,0.3264,0.3205,0.3208,224242.54
43,1600211400000,0.3225,0.3299,0.3215,0.3255,195481.81
44,1600211700000,0.3258,0.3313,0.325,0.33,176486.53
45,1600212000000,0.3301,0.3301,0.3257,0.327,88574.45
46,1600212300000,0.3285,0.3293,0.3265,0.3267,64694.39
47,1600212600000,0.3267,0.3348,0.326,0.3347,127793.02
48,1600212900000,0.3345,0.3348,0.328,0.332,256465.13
49,1600213200000,0.331,0.3319,0.3279,0.3294,68785.99
50,1600213500000,0.3294,0.3349,0.329,0.3334,67013.02
