,timestamp,open,high,low,close,volume
0,1600167000000,2.375,2.375,2.375,2.375,160.35
1,1600167300000,2.375,2.375,2.333,2.354,4169.69
2,1600167600000,2.348,2.382,2.348,2.364,2123.65
3,1600167900000,2.367,2.367,2.35,2.353,1645.64
4,1600168200000,2.352,2.371,2.35,2.35,2815.48
5,1600168500000,2.35,2.371,2.34,2.356,4595.53
6,1600168800000,2.364,2.38,2.355,2.38,1199.83
7,1600169100000,2.379,2.382,2.364,2.364,7905.86
8,1600169400000,2.375,2.385,2.368,2.38,12572.93
9,1600169700000,2.384,2.387,2.358,2.359,4520.05
10,1600170000000,2.359,2.373,2.349,2.369,8013.76
11,1600170300000,2.361,2.365,2.346,2.365,2513.38
12,1600170600000,2.363,2.374,2.352,2.369,17657.26
13,1600170900000,2.369,2.369,2.369,2.369,0.0
14,1600171200000,2.369,2.375,2.358,2.364,1644.81
15,1600171500000,2.362,2.362,2.346,2.346,1295.96
16,1600171800000,2.342,2.359,2.342,2.35,2758.53
17,1600172100000,2.35,2.367,2.349,2.356,7243.57
18,1600172400000,2.351,2.36,2.34,2.34,8592.67
19,1600172700000,2.341,2.385,2.341,2.364,2802.75
20,1600173000000,2.37,2.4,2.346,2.391,6630.55
21,1600173300000,2.391,2.391,2.355,2.369,1413.76
22,1600173600000,2.369,2.376,2.365,2.368,796.67
23,1600173900000,2.375,2.396,2.375,2.378,1423.8
24,1600174200000,2.38,2.382,2.373,2.375,1197.69
25,1600174500000,2.381,2.387,2.361,2.366,7031.72
26,1600174800000,2.366,2.389,2.366,2.388,358.35
27,1600175100000,2.388,2.39,2.379,2.388,7161.2
28,1600175400000,2.392,2.396,2.38,2.381,6420.3
29,1600175700000,2.393,2.419,2.385,2.397,11931.61
30,1600176000000,2.389,2.431,2.389,2.431,5189.87
31,1600176300000,2.428,2.439,2.42,2.433,8297.99
32,1600176600000,2.425,2.43,2.417,2.427,7726.42
33,1600176900000,2.42,2.46,2.42,2.451,6749.1
34,1600177200000,2.459,2.459,2.426,2.434,5773.99
35,1600177500000,2.43,2.459,2.43,2.448,4634.32
36,1600177800000,2.45,2.469,2.448,2.457,7198.08
37,1600178100000,2.457,2.483,2.443,2.481,6456.78
38,1600178400000,2.479,2.48,2.469,2.48,11732.1
39,1600178700000,2.471,2.488,2.448,2.478,7257.82
40,1600179000000,2.489,2.519,2.48,2.519,12468.87
41,1600179300000,2.519,2.528,2.457,2.457,6851.44
42,1600179600000,2.477,2.496,2.477,2.495,24133.27
43,1600179900000,2.489,2.506,2.462,2.467,3060.61
44,1600180200000,2.465,2.485,2.437,2.47,3486.1
45,1600180500000,2.481,2.488,2.481,2.488,3494.66
46,1600180800000,2.492,2.517,2.492,2.505,16878.88
47,1600181100000,2.516,2.559,2.511,2.545,9159.78
48,1600181400000,2.548,2.574,2.539,2.569,19623.23
49,1600181700000,2.569,2.596,2.56,2.568,11884.91
50,1600182000000,2.577,2.584,2.54,2.541,6241.9
51,1600182300000,2.559,2.563,2.521,2.55,8498.96
52,1600182600000,2.539,2.551,2.539,2.55,8279.42
53,1600182900000,2.549,2.549,2.502,2.52,9811.06
54,1600183200000,2.539,2.541,2.527,2.54,4763.95
55,1600183500000,2.54,2.556,2.524,2.555,10872.21
56,1600183800000,2.562,2.588,2.556,2.57,6628.35
57,1600184100000,2.57,2.578,2.55,2.55,2120.24
58,1600184400000,2.55,2.563,2.531,2.55,2161.31
59,1600184700000,2.553,2.553,2.538,2.538,814.43
60,1600185000000,2.538,2.567,2.538,2.567,1152.29
61,1600185300000,2.554,2.554,2.538,2.538,2737.24
62,1600185600000,2.55,2.563,2.51,2.51,2316.18
63,1600185900000,2.52,2.52,2.5,2.512,15063.01
64,1600186200000,2.512,2.538,2.495,2.524,3298.83
65,1600186500000,2.514,2.561,2.514,2.547,2087.36
66,1600186800000,2.561,2.603,2.556,2.582,8294.93
67,1600187100000,2.592,2.598,2.579,2.583,2082.57
68,1600187400000,2.567,2.567,2.511,2.516,10238.69
69,1600187700000,2.515,2.539,2.514,2.53,4557.25
70,1600188000000,2.527,2.529,2.506,2.519,3058.87
71,1600188300000,2.522,2.524,2.505,2.511,1725.12
72,1600188600000,2.516,2.526,2.516,2.525,2177.92
73,1600188900000,2.524,2.529,2.519,2.519,2797.25
74,1600189200000,2.52,2.52,2.52,2.52,16.39
75,1600189500000,2.527,2.541,2.521,2.521,984.72
76,1600189800000,2.527,2.535,2.521,2.535,3379.66
77,1600190100000,2.526,2.526,2.521,2.521,138.09
78,1600190400000,2.519,2.519,2.519,2.519,45.68
79,1600190700000,2.519,2.519,2.519,2.519,0.0
80,1600191000000,2.528,2.528,2.528,2.528,10.4
81,1600191300000,2.539,2.54,2.528,2.528,476.69
82,1600191600000,2.523,2.523,2.514,2.522,193.07
83,1600191900000,2.513,2.522,2.5,2.5,3903.45
84,1600192200000,2.501,2.52,2.501,2.506,1480.57
85,1600192500000,2.503,2.511,2.493,2.511,1183.04
86,1600192800000,2.5,2.515,2.5,2.515,515.14
87,1600193100000,2.501,2.502,2.493,2.497,1675.25
88,1600193400000,2.511,2.52,2.511,2.52,470.4
89,1600193700000,2.519,2.524,2.507,2.524,764.16
90,1600194000000,2.513,2.531,2.512,2.53,2418.77
91,1600194300000,2.53,2.53,2.53,2.53,0.0
92,1600194600000,2.541,2.555,2.541,2.555,226.92
93,1600194900000,2.545,2.566,2.545,2.554,2100.61
94,1600195200000,2.566,2.568,2.566,2.568,609.01
95,1600195500000,2.571,2.579,2.57,2.575,4059.13
96,1600195800000,2.577,2.577,2.551,2.551,1826.42
97,1600196100000,2.557,2.557,2.557,2.557,28.14
98,1600196400000,2.565,2.58,2.563,2.579,514.88
99,1600196700000,2.574,2.597,2.574,2.59,5403.42
100,1600197000000,2.59,2.59,2.576,2.582,3410.41
101,1600197300000,2.587,2.587,2.58,2.58,155.0
102,1600197600000,2.575,2.59,2.575,2.59,1287.01
103,1600197900000,2.59,2.59,2.546,2.573,1923.47
104,1600198200000,2.572,2.586,2.572,2.586,136.46
105,1600198500000,2.573,2.573,2.573,2.573,97.16
106,1600198800000,2.576,2.576,2.576,2.576,73.75
107,1600199100000,2.588,2.588,2.558,2.57,4753.9
108,1600199400000,2.57,2.57,2.553,2.553,1253.62
109,1600199700000,2.556,2.57,2.553,2.555,3405.35
110,1600200000000,2.557,2.57,2.55,2.57,1735.27
111,1600200300000,2.57,2.57,2.57,2.57,518.08
112,1600200600000,2.553,2.563,2.55,2.55,9702.64
113,1600200900000,2.55,2.55,2.502,2.532,18571.13
114,1600201200000,2.529,2.55,2.527,2.55,2213.95
115,1600201500000,2.543,2.548,2.532,2.532,2061.82
116,1600201800000,2.548,2.559,2.547,2.547,9677.7
117,1600202100000,2.556,2.557,2.556,2.556,29.99
118,1600202400000,2.546,2.562,2.546,2.556,588.79
119,1600202700000,2.562,2.562,2.531,2.538,25498.15
120,1600203000000,2.555,2.555,2.513,2.527,8504.13
121,1600203300000,2.525,2.544,2.516,2.532,6193.99
122,1600203600000,2.54,2.545,2.539,2.545,3107.15
123,1600203900000,2.545,2.571,2.545,2.559,1750.95
124,1600204200000,2.561,2.562,2.561,2.562,28.75
125,1600204500000,2.562,2.562,2.562,2.562,0.0
126,1600204800000,2.55,2.55,2.55,2.55,943.45
127,1600205100000,2.55,2.55,2.541,2.55,4315.36
128,1600205400000,2.559,2.573,2.558,2.57,826.2
129,1600205700000,2.55,2.55,2.521,2.536,2592.74
130,1600206000000,2.507,2.507,2.507,2.507,112.75
131,1600206300000,2.507,2.507,2.507,2.507,0.0
132,1600206600000,2.515,2.523,2.482,2.521,5123.31
133,1600206900000,2.524,2.524,2.502,2.502,57.91
134,1600207200000,2.519,2.524,2.493,2.5,5958.84
135,1600207500000,2.5,2.51,2.5,2.51,17519.74
136,1600207800000,2.51,2.527,2.5,2.507,11321.83
137,1600208100000,2.51,2.517,2.495,2.517,7909.49
138,1600208400000,2.516,2.517,2.505,2.517,1155.32
139,1600208700000,2.513,2.516,2.503,2.503,3338.17
140,1600209000000,2.514,2.53,2.514,2.519,3423.65
141,1600209300000,2.512,2.534,2.512,2.519,763.86
142,1600209600000,2.525,2.525,2.525,2.525,8.69
143,1600209900000,2.542,2.545,2.536,2.536,2080.66
144,1600210200000,2.555,2.56,2.537,2.544,11481.09
145,1600210500000,2.538,2.572,2.538,2.57,2046.14
146,1600210800000,2.567,2.59,2.567,2.59,3739.99
147,1600211100000,2.578,2.591,2.573,2.575,14190.69
148,1600211400000,2.574,2.574,2.571,2.571,821.2
149,1600211700000,2.571,2.583,2.571,2.571,349.53
150,1600212000000,2.573,2.587,2.565,2.58,703.81
151,1600212300000,2.579,2.592,2.574,2.591,1453.64
152,1600212600000,2.581,2.587,2.565,2.581,740.0
153,1600212900000,2.581,2.581,2.562,2.563,2896.24
154,1600213200000,2.579,2.595,2.571,2.594,4390.22
155,1600213500000,2.583,2.587,2.562,2.563,2147.98
156,1600213800000,2.565,2.582,2.565,2.582,117.37
157,1600214100000,2.57,2.583,2.57,2.572,1894.6
158,1600214400000,2.582,2.598,2.565,2.598,6211.48
159,1600214700000,2.598,2.63,2.598,2.624,19203.58
160,1600215000000,2.63,2.652,2.618,2.622,36907.05
161,1600215300000,2.624,2.637,2.61,2.62,6657.02
162,1600215600000,2.632,2.632,2.613,2.616,4484.85
163,1600215900000,2.619,2.699,2.619,2.656,48039.93
164,1600216200000,2.66,2.727,2.651,2.682,27540.17
165,1600216500000,2.661,2.689,2.651,2.661,12255.9
166,1600216800000,2.661,2.699,2.661,2.683,12066.05
167,1600217100000,2.693,2.72,2.693,2.704,21403.03
168,1600217400000,2.713,2.719,2.652,2.671,27510.64
169,1600217700000,2.673,2.677,2.655,2.655,8081.26
170,1600218000000,2.661,2.665,2.646,2.661,12518.37
171,1600218300000,2.664,2.669,2.655,2.66,1721.28
172,1600218600000,2.667,2.667,2.66,2.66,553.09
173,1600218900000,2.659,2.677,2.659,2.677,394.69
174,1600219200000,2.676,2.69,2.676,2.676,878.16
175,1600219500000,2.68,2.696,2.68,2.696,3810.68
176,1600219800000,2.698,2.698,2.649,2.649,1710.04
177,1600220100000,2.649,2.649,2.628,2.641,5857.37
178,1600220400000,2.644,2.644,2.631,2.634,4289.94
179,1600220700000,2.633,2.651,2.618,2.641,13097.31
180,1600221000000,2.644,2.644,2.616,2.631,3007.39
181,1600221300000,2.636,2.636,2.624,2.624,3359.6
182,1600221600000,2.616,2.636,2.616,2.628,3247.14
183,1600221900000,2.628,2.656,2.628,2.629,679.32
184,1600222200000,2.634,2.65,2.632,2.65,1532.15
185,1600222500000,2.64,2.644,2.64,2.644,1901.2
186,1600222800000,2.659,2.672,2.659,2.667,2036.25
