,timestamp,open,high,low,close,volume
0,1600245900000,3.787,3.789,3.787,3.787,863.931
1,1600246200000,3.792,3.794,3.79,3.79,487.198
2,1600246500000,3.789,3.792,3.788,3.792,1382.904
3,1600246800000,3.789,3.799,3.775,3.775,3014.294
4,1600247100000,3.775,3.775,3.773,3.773,586.116
5,1600247400000,3.775,3.775,3.775,3.775,33.419
6,1600247700000,3.776,3.791,3.776,3.789,2327.804
7,1600248000000,3.789,3.791,3.779,3.779,2085.522
8,1600248300000,3.776,3.778,3.773,3.778,945.702
9,1600248600000,3.777,3.78,3.776,3.776,1055.231
10,1600248900000,3.797,3.799,3.779,3.779,274.034
11,1600249200000,3.772,3.775,3.765,3.768,8334.618
12,1600249500000,3.766,3.768,3.765,3.768,1228.084
13,1600249800000,3.767,3.767,3.76,3.761,742.688
14,1600250100000,3.762,3.762,3.761,3.762,1083.697
15,1600250400000,3.763,3.77,3.763,3.769,984.054
16,1600250700000,3.769,3.786,3.769,3.778,639.166
17,1600251000000,3.779,3.779,3.769,3.773,911.158
18,1600251300000,3.773,3.773,3.771,3.771,554.359
19,1600251600000,3.781,3.784,3.778,3.778,1286.054
20,1600251900000,3.769,3.77,3.765,3.765,593.512
21,1600252200000,3.761,3.765,3.756,3.756,492.989
22,1600252500000,3.76,3.76,3.756,3.756,168.733
23,1600252800000,3.755,3.756,3.755,3.756,3180.999
24,1600253100000,3.756,3.759,3.756,3.759,1199.67
25,1600253400000,3.756,3.761,3.755,3.758,2904.818
26,1600253700000,3.757,3.757,3.753,3.754,1479.16
27,1600254000000,3.757,3.766,3.757,3.765,629.187
28,1600254300000,3.761,3.761,3.759,3.761,917.497
29,1600254600000,3.761,3.763,3.755,3.755,4339.22
30,1600254900000,3.758,3.764,3.758,3.763,2454.42
31,1600255200000,3.759,3.761,3.758,3.758,440.243
32,1600255500000,3.757,3.758,3.757,3.758,298.402
33,1600255800000,3.758,3.76,3.758,3.76,172.323
34,1600256100000,3.76,3.766,3.76,3.761,786.611
35,1600256400000,3.761,3.762,3.758,3.758,826.931
36,1600256700000,3.758,3.758,3.756,3.756,544.829
37,1600257000000,3.757,3.773,3.753,3.77,870.087
38,1600257300000,3.772,3.784,3.772,3.783,2427.364
39,1600257600000,3.784,3.8,3.784,3.793,3375.556
40,1600257900000,3.785,3.787,3.767,3.768,2225.438
41,1600258200000,3.769,3.772,3.769,3.77,857.667
42,1600258500000,3.78,3.784,3.771,3.784,422.413
43,1600258800000,3.784,3.784,3.778,3.784,2964.846
44,1600259100000,3.786,3.791,3.786,3.791,2306.768
45,1600259400000,3.792,3.795,3.792,3.795,1591.856
46,1600259700000,3.792,3.805,3.792,3.804,1794.587
47,1600260000000,3.802,3.808,3.802,3.803,553.233
48,1600260300000,3.804,3.807,3.804,3.806,1635.293
49,1600260600000,3.806,3.806,3.787,3.8,1612.065
50,1600260900000,3.8,3.8,3.794,3.799,1873.67
51,1600261200000,3.797,3.797,3.791,3.791,1286.076
52,1600261500000,3.787,3.788,3.787,3.787,432.768
53,1600261800000,3.792,3.812,3.792,3.812,309.748
54,1600262100000,3.808,3.812,3.808,3.81,40.831
55,1600262400000,3.808,3.808,3.807,3.807,505.281
56,1600262700000,3.809,3.819,3.809,3.819,1092.431
57,1600263000000,3.819,3.825,3.817,3.818,2872.81
58,1600263300000,3.817,3.825,3.817,3.825,987.551
59,1600263600000,3.83,3.834,3.811,3.822,1402.699
60,1600263900000,3.82,3.825,3.814,3.825,2678.577
61,1600264200000,3.825,3.828,3.825,3.828,1174.339
62,1600264500000,3.825,3.828,3.822,3.828,1357.077
63,1600264800000,3.834,3.834,3.824,3.83,483.328
64,1600265100000,3.822,3.826,3.817,3.817,272.146
65,1600265400000,3.826,3.831,3.824,3.83,700.975
66,1600265700000,3.83,3.83,3.83,3.83,0.0
67,1600266000000,3.831,3.833,3.817,3.817,1084.263
68,1600266300000,3.816,3.82,3.816,3.82,41.541
69,1600266600000,3.819,3.819,3.81,3.813,54.735
70,1600266900000,3.828,3.828,3.815,3.815,4812.311
71,1600267200000,3.815,3.815,3.815,3.815,0.0
72,1600267500000,3.824,3.824,3.821,3.821,1007.476
73,1600267800000,3.819,3.819,3.809,3.814,1551.627
74,1600268100000,3.812,3.816,3.808,3.81,880.524
75,1600268400000,3.815,3.832,3.812,3.831,38.103
76,1600268700000,3.826,3.826,3.826,3.826,30.151
77,1600269000000,3.829,3.829,3.826,3.826,180.527
78,1600269300000,3.826,3.826,3.826,3.826,0.0
79,1600269600000,3.823,3.823,3.823,3.823,6.954
80,1600269900000,3.822,3.827,3.822,3.827,95.839
81,1600270200000,3.834,3.842,3.834,3.84,958.016
82,1600270500000,3.84,3.847,3.832,3.832,2577.644
83,1600270800000,3.827,3.84,3.826,3.832,1122.191
84,1600271100000,3.832,3.844,3.832,3.844,1995.446
85,1600271400000,3.848,3.848,3.841,3.842,565.88
86,1600271700000,3.842,3.842,3.841,3.842,1416.176
87,1600272000000,3.842,3.857,3.834,3.857,1140.962
88,1600272300000,3.851,3.851,3.85,3.85,400.0
89,1600272600000,3.854,3.855,3.845,3.845,1864.962
90,1600272900000,3.848,3.848,3.844,3.844,902.696
91,1600273200000,3.844,3.844,3.844,3.844,0.0
92,1600273500000,3.847,3.847,3.845,3.845,386.469
93,1600273800000,3.846,3.852,3.846,3.852,738.468
94,1600274100000,3.852,3.859,3.852,3.859,1332.188
95,1600274400000,3.859,3.882,3.859,3.882,2165.815
96,1600274700000,3.873,3.873,3.871,3.871,241.439
97,1600275000000,3.868,3.872,3.868,3.869,678.582
98,1600275300000,3.876,3.876,3.876,3.876,25.8
99,1600275600000,3.869,3.869,3.855,3.855,218.51
100,1600275900000,3.86,3.86,3.859,3.859,461.616
101,1600276200000,3.859,3.869,3.847,3.858,4387.989
102,1600276500000,3.851,3.853,3.851,3.853,299.254
103,1600276800000,3.846,3.846,3.846,3.846,158.471
104,1600277100000,3.848,3.85,3.833,3.843,843.796
105,1600277400000,3.842,3.846,3.841,3.846,1318.685
106,1600277700000,3.846,3.846,3.843,3.843,51.037
107,1600278000000,3.841,3.844,3.84,3.844,267.323
108,1600278300000,3.847,3.847,3.847,3.847,45.57
109,1600278600000,3.847,3.847,3.841,3.841,76.217
110,1600278900000,3.844,3.847,3.844,3.847,170.056
111,1600279200000,3.857,3.866,3.853,3.858,2524.322
112,1600279500000,3.859,3.859,3.842,3.842,8.031
113,1600279800000,3.822,3.822,3.818,3.818,594.97
114,1600280100000,3.823,3.841,3.823,3.839,352.783
115,1600280400000,3.839,3.842,3.839,3.842,4.001
116,1600280700000,3.845,3.845,3.845,3.845,3.684
117,1600281000000,3.848,3.871,3.848,3.851,1558.793
118,1600281300000,3.851,3.851,3.851,3.851,103.876
119,1600281600000,3.849,3.861,3.849,3.854,1551.543
120,1600281900000,3.855,3.855,3.852,3.852,1022.127
121,1600282200000,3.854,3.854,3.839,3.839,87.413
122,1600282500000,3.839,3.84,3.836,3.836,418.521
123,1600282800000,3.836,3.836,3.836,3.836,0.0
124,1600283100000,3.833,3.833,3.833,3.833,2.609
125,1600283400000,3.822,3.825,3.822,3.825,26.682
126,1600283700000,3.83,3.83,3.83,3.83,46.01
127,1600284000000,3.837,3.837,3.837,3.837,40.9
128,1600284300000,3.831,3.831,3.824,3.824,45.306
129,1600284600000,3.827,3.827,3.827,3.827,35.598
130,1600284900000,3.837,3.837,3.837,3.837,134.58
131,1600285200000,3.837,3.837,3.837,3.837,0.0
132,1600285500000,3.827,3.831,3.827,3.831,430.444
133,1600285800000,3.832,3.832,3.821,3.821,300.833
134,1600286100000,3.821,3.821,3.821,3.821,11.738
135,1600286400000,3.817,3.817,3.817,3.817,4.131
136,1600286700000,3.817,3.822,3.817,3.819,221.99
137,1600287000000,3.822,3.822,3.822,3.822,20.294
138,1600287300000,3.822,3.822,3.822,3.822,0.0
139,1600287600000,3.822,3.822,3.822,3.822,26.137
140,1600287900000,3.83,3.838,3.83,3.838,148.469
141,1600288200000,3.842,3.842,3.839,3.839,17.276
142,1600288500000,3.836,3.841,3.834,3.837,261.454
143,1600288800000,3.838,3.838,3.834,3.834,59.075
144,1600289100000,3.835,3.838,3.835,3.838,30.903
145,1600289400000,3.835,3.835,3.834,3.834,178.179
146,1600289700000,3.834,3.834,3.834,3.834,0.0
147,1600290000000,3.834,3.834,3.834,3.834,0.0
148,1600290300000,3.819,3.819,3.819,3.819,20.0
149,1600290600000,3.819,3.819,3.819,3.819,0.0
150,1600290900000,3.819,3.819,3.819,3.819,0.0
151,1600291200000,3.826,3.826,3.826,3.826,19.98
