,timestamp,open,high,low,close,volume
0,1600167000000,1.215,1.215,1.213,1.214,1527.549
1,1600167300000,1.215,1.221,1.214,1.218,8292.583
2,1600167600000,1.218,1.218,1.211,1.214,4385.273
3,1600167900000,1.213,1.216,1.213,1.216,3417.424
4,1600168200000,1.215,1.219,1.214,1.219,8350.058
5,1600168500000,1.217,1.218,1.215,1.218,10670.352
6,1600168800000,1.218,1.218,1.218,1.218,670.877
7,1600169100000,1.218,1.219,1.218,1.218,1742.023
8,1600169400000,1.218,1.218,1.211,1.212,11246.619
9,1600169700000,1.211,1.213,1.21,1.213,3534.077
10,1600170000000,1.213,1.213,1.21,1.212,6638.939
11,1600170300000,1.212,1.212,1.21,1.21,2366.602
12,1600170600000,1.21,1.21,1.208,1.209,5474.111
13,1600170900000,1.209,1.212,1.209,1.212,13177.925
14,1600171200000,1.212,1.213,1.212,1.213,1193.6
15,1600171500000,1.214,1.221,1.214,1.219,16116.166
16,1600171800000,1.22,1.222,1.219,1.222,7209.481
17,1600172100000,1.222,1.223,1.219,1.223,6663.547
18,1600172400000,1.223,1.225,1.223,1.223,1810.259
19,1600172700000,1.225,1.225,1.22,1.22,2805.534
20,1600173000000,1.22,1.222,1.212,1.215,14937.44
21,1600173300000,1.214,1.221,1.213,1.218,32524.406
22,1600173600000,1.217,1.217,1.21,1.211,2715.496
23,1600173900000,1.209,1.209,1.205,1.207,5208.311
24,1600174200000,1.206,1.209,1.201,1.202,18859.3
25,1600174500000,1.202,1.206,1.202,1.203,2296.203
26,1600174800000,1.203,1.203,1.199,1.199,3487.756
27,1600175100000,1.198,1.199,1.195,1.195,1918.993
28,1600175400000,1.199,1.201,1.197,1.201,1014.25
29,1600175700000,1.199,1.203,1.197,1.203,3243.414
30,1600176000000,1.201,1.204,1.199,1.199,2399.624
31,1600176300000,1.2,1.201,1.199,1.201,3523.129
32,1600176600000,1.201,1.202,1.199,1.199,3201.566
33,1600176900000,1.201,1.201,1.197,1.197,2468.062
34,1600177200000,1.198,1.202,1.195,1.202,5930.311
35,1600177500000,1.2,1.202,1.2,1.2,2579.179
36,1600177800000,1.2,1.2,1.197,1.199,7248.961
37,1600178100000,1.199,1.201,1.195,1.195,23241.993
38,1600178400000,1.196,1.196,1.194,1.194,4558.928
39,1600178700000,1.197,1.199,1.194,1.194,12011.845
40,1600179000000,1.195,1.195,1.187,1.189,8519.141
41,1600179300000,1.187,1.192,1.186,1.192,6066.59
42,1600179600000,1.193,1.193,1.185,1.185,7312.344
43,1600179900000,1.187,1.193,1.187,1.19,32782.305
44,1600180200000,1.19,1.193,1.188,1.191,6863.553
45,1600180500000,1.193,1.193,1.19,1.19,169.345
46,1600180800000,1.19,1.19,1.184,1.184,37762.931
47,1600181100000,1.185,1.185,1.17,1.179,83559.17
48,1600181400000,1.177,1.177,1.17,1.17,24202.96
49,1600181700000,1.17,1.172,1.162,1.17,45355.498
50,1600182000000,1.17,1.179,1.17,1.178,21264.944
51,1600182300000,1.178,1.179,1.176,1.177,36893.619
52,1600182600000,1.176,1.178,1.176,1.176,6688.878
53,1600182900000,1.177,1.178,1.176,1.178,9668.722
54,1600183200000,1.178,1.178,1.177,1.177,19409.082
55,1600183500000,1.178,1.18,1.177,1.178,16725.6
56,1600183800000,1.179,1.179,1.178,1.178,10798.095
57,1600184100000,1.178,1.18,1.175,1.179,10626.023
58,1600184400000,1.179,1.179,1.176,1.177,6478.463
59,1600184700000,1.176,1.178,1.176,1.178,8609.945
60,1600185000000,1.177,1.177,1.172,1.173,10438.585
61,1600185300000,1.175,1.178,1.173,1.178,3963.408
62,1600185600000,1.177,1.18,1.177,1.18,16832.278
63,1600185900000,1.181,1.183,1.181,1.183,5563.04
64,1600186200000,1.183,1.183,1.182,1.183,13253.575
65,1600186500000,1.183,1.183,1.182,1.183,5209.611
66,1600186800000,1.183,1.184,1.179,1.182,20728.699
67,1600187100000,1.181,1.181,1.18,1.18,3853.289
68,1600187400000,1.185,1.186,1.184,1.184,3375.178
69,1600187700000,1.185,1.186,1.183,1.186,20380.268
70,1600188000000,1.188,1.191,1.188,1.191,2309.283
71,1600188300000,1.19,1.191,1.188,1.189,7049.514
72,1600188600000,1.189,1.19,1.187,1.19,9692.332
73,1600188900000,1.189,1.19,1.188,1.189,2735.979
74,1600189200000,1.188,1.188,1.186,1.186,1904.064
75,1600189500000,1.184,1.186,1.184,1.186,753.438
76,1600189800000,1.184,1.184,1.184,1.184,529.423
77,1600190100000,1.184,1.184,1.184,1.184,1982.026
78,1600190400000,1.185,1.186,1.185,1.186,4856.84
79,1600190700000,1.185,1.186,1.185,1.186,2086.39
80,1600191000000,1.186,1.186,1.185,1.185,6316.784
81,1600191300000,1.185,1.185,1.185,1.185,2930.809
82,1600191600000,1.185,1.191,1.185,1.189,6065.37
83,1600191900000,1.191,1.192,1.19,1.19,1672.628
84,1600192200000,1.192,1.192,1.19,1.19,590.073
85,1600192500000,1.192,1.192,1.192,1.192,274.683
86,1600192800000,1.192,1.192,1.19,1.19,2415.545
87,1600193100000,1.191,1.193,1.191,1.191,10979.268
88,1600193400000,1.192,1.192,1.186,1.186,8434.19
89,1600193700000,1.188,1.189,1.187,1.189,763.138
90,1600194000000,1.189,1.189,1.189,1.189,1150.594
91,1600194300000,1.187,1.187,1.186,1.186,685.337
92,1600194600000,1.186,1.19,1.184,1.19,9733.585
93,1600194900000,1.187,1.187,1.187,1.187,888.32
94,1600195200000,1.187,1.188,1.186,1.188,1051.409
95,1600195500000,1.186,1.188,1.186,1.188,1105.281
96,1600195800000,1.187,1.188,1.186,1.186,964.527
97,1600196100000,1.186,1.188,1.186,1.188,614.332
98,1600196400000,1.186,1.186,1.186,1.186,3467.328
99,1600196700000,1.186,1.186,1.18,1.182,7625.38
100,1600197000000,1.183,1.185,1.183,1.184,3476.072
101,1600197300000,1.184,1.186,1.184,1.186,13047.79
102,1600197600000,1.184,1.184,1.181,1.181,5221.319
103,1600197900000,1.183,1.184,1.181,1.182,2110.631
104,1600198200000,1.182,1.182,1.18,1.18,6243.256
105,1600198500000,1.182,1.184,1.182,1.182,3114.725
106,1600198800000,1.182,1.182,1.182,1.182,8106.305
107,1600199100000,1.182,1.182,1.182,1.182,59.845
108,1600199400000,1.183,1.183,1.183,1.183,2394.0
109,1600199700000,1.184,1.184,1.183,1.183,5438.006
110,1600200000000,1.183,1.185,1.183,1.185,2901.152
111,1600200300000,1.185,1.185,1.185,1.185,267.847
112,1600200600000,1.185,1.19,1.185,1.19,5675.789
113,1600200900000,1.191,1.198,1.191,1.195,14679.313
114,1600201200000,1.195,1.195,1.195,1.195,3680.55
115,1600201500000,1.195,1.195,1.195,1.195,1792.0
116,1600201800000,1.195,1.197,1.195,1.195,2115.007
117,1600202100000,1.197,1.197,1.195,1.197,824.36
118,1600202400000,1.195,1.195,1.191,1.191,3676.401
119,1600202700000,1.19,1.192,1.189,1.192,6056.49
120,1600203000000,1.192,1.195,1.192,1.194,7328.828
121,1600203300000,1.195,1.195,1.194,1.194,2066.041
122,1600203600000,1.194,1.194,1.194,1.194,510.864
123,1600203900000,1.195,1.195,1.193,1.194,5341.254
124,1600204200000,1.194,1.194,1.193,1.194,1679.925
125,1600204500000,1.192,1.192,1.189,1.189,831.981
126,1600204800000,1.192,1.192,1.191,1.191,341.06
127,1600205100000,1.186,1.186,1.185,1.185,3620.578
128,1600205400000,1.185,1.185,1.182,1.182,18033.664
129,1600205700000,1.182,1.187,1.181,1.186,3533.098
130,1600206000000,1.187,1.189,1.187,1.188,1032.816
131,1600206300000,1.188,1.188,1.185,1.185,3990.451
132,1600206600000,1.188,1.188,1.185,1.185,4164.74
133,1600206900000,1.185,1.186,1.185,1.186,2547.427
134,1600207200000,1.186,1.187,1.185,1.185,746.384
135,1600207500000,1.185,1.185,1.185,1.185,24.299
136,1600207800000,1.185,1.185,1.185,1.185,2220.183
137,1600208100000,1.185,1.185,1.185,1.185,5822.0
138,1600208400000,1.186,1.186,1.184,1.184,4404.704
139,1600208700000,1.184,1.185,1.184,1.185,3456.333
140,1600209000000,1.184,1.186,1.183,1.186,5615.94
141,1600209300000,1.186,1.186,1.185,1.185,2137.319
142,1600209600000,1.185,1.185,1.185,1.185,3433.695
143,1600209900000,1.184,1.185,1.184,1.184,2438.079
144,1600210200000,1.184,1.187,1.184,1.187,15248.264
145,1600210500000,1.185,1.186,1.174,1.178,39113.213
146,1600210800000,1.177,1.177,1.17,1.17,24631.794
147,1600211100000,1.169,1.173,1.168,1.173,9912.855
148,1600211400000,1.173,1.173,1.172,1.173,4629.054
149,1600211700000,1.173,1.173,1.17,1.171,22819.827
150,1600212000000,1.173,1.173,1.171,1.173,8067.86
151,1600212300000,1.171,1.172,1.171,1.171,19026.769
152,1600212600000,1.171,1.173,1.171,1.172,7815.692
153,1600212900000,1.172,1.173,1.172,1.173,1343.731
154,1600213200000,1.173,1.173,1.17,1.17,21378.55
155,1600213500000,1.17,1.173,1.17,1.171,6836.579
156,1600213800000,1.171,1.171,1.171,1.171,222.751
157,1600214100000,1.172,1.172,1.172,1.172,125.319
158,1600214400000,1.171,1.172,1.166,1.167,17577.442
159,1600214700000,1.166,1.167,1.16,1.16,16497.16
160,1600215000000,1.16,1.16,1.151,1.159,16703.46
161,1600215300000,1.157,1.158,1.156,1.156,3046.463
162,1600215600000,1.153,1.155,1.151,1.151,1497.19
163,1600215900000,1.151,1.151,1.129,1.141,81111.253
164,1600216200000,1.141,1.146,1.126,1.135,25314.873
165,1600216500000,1.133,1.147,1.131,1.146,12305.897
166,1600216800000,1.147,1.147,1.142,1.145,8831.771
167,1600217100000,1.146,1.146,1.138,1.139,10026.18
168,1600217400000,1.14,1.14,1.135,1.135,4857.817
169,1600217700000,1.134,1.138,1.126,1.136,17593.136
170,1600218000000,1.137,1.137,1.131,1.133,14277.573
171,1600218300000,1.131,1.131,1.128,1.131,11175.69
172,1600218600000,1.131,1.137,1.131,1.135,8304.661
173,1600218900000,1.134,1.134,1.131,1.133,3626.67
174,1600219200000,1.13,1.133,1.13,1.131,1473.812
175,1600219500000,1.129,1.13,1.128,1.13,1218.48
176,1600219800000,1.132,1.134,1.131,1.134,4105.166
177,1600220100000,1.134,1.138,1.133,1.134,14488.32
178,1600220400000,1.136,1.137,1.135,1.135,1285.565
179,1600220700000,1.134,1.137,1.134,1.135,9248.441
180,1600221000000,1.136,1.137,1.136,1.137,476.414
181,1600221300000,1.135,1.135,1.133,1.135,1486.617
182,1600221600000,1.136,1.136,1.132,1.133,3668.251
183,1600221900000,1.132,1.133,1.13,1.133,2787.761
184,1600222200000,1.133,1.133,1.13,1.131,34034.382
185,1600222500000,1.131,1.131,1.129,1.129,17798.509
186,1600222800000,1.129,1.129,1.12,1.123,18701.951
187,1600223100000,1.122,1.123,1.122,1.123,3558.479
188,1600223400000,1.124,1.124,1.122,1.122,373.577
189,1600223700000,1.121,1.121,1.118,1.119,6419.574
190,1600224000000,1.119,1.12,1.116,1.119,19319.858
191,1600224300000,1.12,1.124,1.117,1.121,18754.166
192,1600224600000,1.119,1.121,1.116,1.118,13004.882
193,1600224900000,1.118,1.121,1.115,1.119,25915.84
194,1600225200000,1.117,1.119,1.115,1.116,3044.091
195,1600225500000,1.117,1.117,1.111,1.116,40674.058
196,1600225800000,1.115,1.115,1.111,1.113,5221.371
197,1600226100000,1.111,1.112,1.109,1.111,8024.798
198,1600226400000,1.112,1.114,1.112,1.114,3638.511
199,1600226700000,1.114,1.118,1.114,1.118,8309.319
200,1600227000000,1.118,1.118,1.116,1.118,2675.924
201,1600227300000,1.119,1.119,1.116,1.119,1375.405
202,1600227600000,1.119,1.119,1.117,1.117,1394.783
203,1600227900000,1.116,1.117,1.116,1.117,209.369
204,1600228200000,1.117,1.117,1.115,1.117,8855.262
205,1600228500000,1.117,1.119,1.116,1.119,1197.95
206,1600228800000,1.117,1.117,1.117,1.117,18.385
207,1600229100000,1.117,1.118,1.116,1.116,183.87
208,1600229400000,1.118,1.119,1.118,1.119,220.445
209,1600229700000,1.119,1.125,1.118,1.124,5486.112
210,1600230000000,1.125,1.131,1.122,1.129,17670.568
211,1600230300000,1.129,1.134,1.129,1.134,7032.775
212,1600230600000,1.133,1.135,1.128,1.131,10688.324
213,1600230900000,1.132,1.134,1.131,1.133,3489.31
214,1600231200000,1.132,1.137,1.131,1.136,9927.316
215,1600231500000,1.136,1.136,1.132,1.135,15085.415
216,1600231800000,1.134,1.135,1.131,1.135,8742.0
217,1600232100000,1.136,1.137,1.135,1.137,3016.632
218,1600232400000,1.135,1.137,1.135,1.137,1369.148
219,1600232700000,1.136,1.143,1.136,1.141,8795.824
220,1600233000000,1.143,1.145,1.141,1.145,6316.993
221,1600233300000,1.145,1.145,1.143,1.145,8000.632
222,1600233600000,1.144,1.147,1.143,1.145,7844.333
223,1600233900000,1.145,1.145,1.141,1.144,12578.668
224,1600234200000,1.144,1.146,1.144,1.145,2454.091
225,1600234500000,1.147,1.149,1.146,1.149,354.633
226,1600234800000,1.147,1.15,1.146,1.146,2643.581
227,1600235100000,1.146,1.147,1.146,1.146,419.033
228,1600235400000,1.148,1.148,1.145,1.145,1816.818
229,1600235700000,1.145,1.148,1.145,1.147,3987.839
230,1600236000000,1.149,1.149,1.146,1.148,3747.038
231,1600236300000,1.148,1.148,1.147,1.147,2112.204
232,1600236600000,1.145,1.146,1.142,1.142,3927.008
233,1600236900000,1.143,1.148,1.143,1.144,11522.029
234,1600237200000,1.144,1.145,1.142,1.142,5620.34
235,1600237500000,1.144,1.145,1.142,1.144,5446.998
236,1600237800000,1.145,1.145,1.143,1.145,3161.811
237,1600238100000,1.145,1.147,1.145,1.146,4233.964
238,1600238400000,1.148,1.149,1.145,1.149,8638.5
239,1600238700000,1.149,1.151,1.144,1.149,13537.263
240,1600239000000,1.149,1.151,1.147,1.147,10849.367
241,1600239300000,1.148,1.149,1.144,1.145,20290.812
242,1600239600000,1.147,1.148,1.146,1.148,4616.91
243,1600239900000,1.149,1.149,1.145,1.145,3986.781
244,1600240200000,1.145,1.145,1.145,1.145,973.548
245,1600240500000,1.144,1.145,1.144,1.144,300.309
246,1600240800000,1.144,1.147,1.142,1.147,3449.605
247,1600241100000,1.147,1.147,1.145,1.147,1335.094
248,1600241400000,1.147,1.15,1.146,1.15,5054.946
249,1600241700000,1.15,1.151,1.147,1.15,2737.381
250,1600242000000,1.15,1.152,1.15,1.152,689.647
251,1600242300000,1.151,1.151,1.148,1.148,3045.881
252,1600242600000,1.149,1.154,1.149,1.152,2095.699
253,1600242900000,1.155,1.156,1.152,1.152,1762.649
254,1600243200000,1.152,1.154,1.148,1.151,17313.203
255,1600243500000,1.151,1.152,1.149,1.15,8440.477
256,1600243800000,1.152,1.152,1.148,1.152,5853.537
257,1600244100000,1.151,1.153,1.149,1.151,4315.638
258,1600244400000,1.147,1.15,1.145,1.146,13372.408
259,1600244700000,1.146,1.147,1.143,1.147,2021.835
260,1600245000000,1.147,1.148,1.147,1.147,1490.845
261,1600245300000,1.146,1.149,1.145,1.148,1650.097
262,1600245600000,1.147,1.147,1.145,1.145,6497.739
263,1600245900000,1.145,1.149,1.145,1.149,1163.82
264,1600246200000,1.148,1.149,1.148,1.149,294.21
265,1600246500000,1.148,1.151,1.146,1.149,9101.868
266,1600246800000,1.147,1.151,1.146,1.146,4611.622
267,1600247100000,1.146,1.148,1.146,1.147,1786.744
268,1600247400000,1.148,1.148,1.146,1.147,89.132
269,1600247700000,1.147,1.147,1.147,1.147,15.612
270,1600248000000,1.147,1.149,1.14,1.14,7195.54
271,1600248300000,1.141,1.144,1.137,1.14,17341.323
