,timestamp,open,high,low,close,volume
0,1600245900000,0.531,0.533,0.529,0.529,3920.09
1,1600246200000,0.53,0.533,0.53,0.531,20115.5
2,1600246500000,0.533,0.533,0.529,0.533,8769.1
3,1600246800000,0.531,0.539,0.53,0.539,30448.6
4,1600247100000,0.54,0.541,0.537,0.539,49492.43
5,1600247400000,0.538,0.539,0.537,0.537,8954.24
6,1600247700000,0.537,0.537,0.533,0.537,42227.23
7,1600248000000,0.54,0.55,0.54,0.55,58914.51
8,1600248300000,0.549,0.553,0.541,0.553,101145.19
9,1600248600000,0.553,0.553,0.547,0.55,18099.47
10,1600248900000,0.55,0.552,0.548,0.551,17938.49
11,1600249200000,0.551,0.552,0.545,0.545,20242.59
12,1600249500000,0.545,0.548,0.544,0.548,5987.81
13,1600249800000,0.548,0.553,0.548,0.552,34082.6
14,1600250100000,0.552,0.552,0.547,0.549,12555.05
15,1600250400000,0.549,0.55,0.545,0.545,28980.81
16,1600250700000,0.545,0.546,0.542,0.542,41402.52
17,1600251000000,0.541,0.544,0.54,0.542,12670.8
18,1600251300000,0.543,0.545,0.542,0.545,3428.41
19,1600251600000,0.543,0.545,0.542,0.545,51221.98
20,1600251900000,0.545,0.546,0.543,0.546,20799.28
21,1600252200000,0.547,0.551,0.546,0.549,32912.9
22,1600252500000,0.551,0.554,0.548,0.554,24300.84
23,1600252800000,0.55,0.552,0.548,0.551,22317.29
24,1600253100000,0.553,0.553,0.548,0.549,29177.18
25,1600253400000,0.549,0.55,0.546,0.548,11190.78
26,1600253700000,0.55,0.551,0.547,0.551,9714.8
27,1600254000000,0.551,0.551,0.547,0.547,26853.87
28,1600254300000,0.549,0.549,0.544,0.544,36700.83
29,1600254600000,0.545,0.548,0.544,0.547,27002.78
30,1600254900000,0.547,0.547,0.546,0.546,12051.05
31,1600255200000,0.546,0.548,0.546,0.546,21155.87
32,1600255500000,0.548,0.55,0.545,0.545,18527.96
33,1600255800000,0.545,0.551,0.545,0.551,38666.89
34,1600256100000,0.551,0.551,0.549,0.55,12826.69
35,1600256400000,0.55,0.553,0.549,0.553,42879.38
36,1600256700000,0.553,0.553,0.55,0.55,13701.09
37,1600257000000,0.552,0.553,0.545,0.545,47102.16
38,1600257300000,0.547,0.547,0.542,0.543,43742.31
39,1600257600000,0.542,0.547,0.537,0.547,65756.97
40,1600257900000,0.546,0.548,0.545,0.546,9829.89
41,1600258200000,0.546,0.547,0.543,0.545,23138.49
42,1600258500000,0.545,0.547,0.545,0.546,27589.44
43,1600258800000,0.544,0.546,0.544,0.546,1492.42
44,1600259100000,0.544,0.546,0.538,0.538,45256.46
45,1600259400000,0.538,0.54,0.532,0.534,67438.18
46,1600259700000,0.535,0.536,0.531,0.536,32330.22
47,1600260000000,0.536,0.542,0.534,0.542,46641.73
48,1600260300000,0.54,0.54,0.536,0.538,17710.71
49,1600260600000,0.539,0.541,0.536,0.54,18741.02
50,1600260900000,0.536,0.539,0.535,0.537,44034.98
51,1600261200000,0.539,0.539,0.534,0.534,53304.4
52,1600261500000,0.533,0.538,0.53,0.535,90509.38
53,1600261800000,0.533,0.537,0.528,0.528,182269.28
54,1600262100000,0.531,0.534,0.528,0.532,60032.76
55,1600262400000,0.531,0.534,0.53,0.534,26014.19
56,1600262700000,0.536,0.539,0.534,0.539,25344.87
57,1600263000000,0.536,0.536,0.525,0.531,121177.56
58,1600263300000,0.531,0.531,0.525,0.528,27937.24
59,1600263600000,0.526,0.533,0.526,0.533,13785.92
60,1600263900000,0.533,0.533,0.529,0.529,17481.25
61,1600264200000,0.531,0.533,0.53,0.532,31818.05
62,1600264500000,0.533,0.535,0.531,0.535,20810.75
63,1600264800000,0.535,0.538,0.53,0.538,70299.93
64,1600265100000,0.538,0.539,0.533,0.533,17193.29
65,1600265400000,0.533,0.538,0.533,0.537,10711.29
66,1600265700000,0.536,0.538,0.535,0.535,26589.13
67,1600266000000,0.535,0.541,0.535,0.541,39254.33
68,1600266300000,0.541,0.547,0.541,0.547,55945.17
69,1600266600000,0.544,0.55,0.544,0.55,50539.26
70,1600266900000,0.55,0.55,0.547,0.55,30942.91
71,1600267200000,0.551,0.553,0.549,0.552,47974.26
72,1600267500000,0.551,0.555,0.551,0.553,83587.88
73,1600267800000,0.555,0.555,0.551,0.554,33564.86
74,1600268100000,0.553,0.555,0.551,0.554,32180.33
75,1600268400000,0.554,0.554,0.546,0.551,46089.83
76,1600268700000,0.546,0.546,0.54,0.543,105707.63
77,1600269000000,0.544,0.547,0.541,0.541,24400.84
78,1600269300000,0.542,0.543,0.54,0.543,9919.56
79,1600269600000,0.543,0.547,0.543,0.543,17208.05
80,1600269900000,0.546,0.546,0.543,0.543,17487.56
81,1600270200000,0.543,0.543,0.535,0.535,98690.03
82,1600270500000,0.534,0.537,0.526,0.537,151725.63
83,1600270800000,0.537,0.542,0.536,0.542,38042.77
84,1600271100000,0.539,0.542,0.538,0.538,25599.21
85,1600271400000,0.537,0.539,0.534,0.536,67230.19
86,1600271700000,0.535,0.538,0.534,0.534,7104.57
87,1600272000000,0.534,0.54,0.53,0.533,88961.78
88,1600272300000,0.533,0.54,0.533,0.538,16572.2
89,1600272600000,0.539,0.545,0.539,0.541,50873.05
90,1600272900000,0.542,0.551,0.542,0.551,124374.38
91,1600273200000,0.55,0.553,0.547,0.553,81010.55
92,1600273500000,0.554,0.554,0.548,0.548,20445.65
93,1600273800000,0.55,0.55,0.546,0.547,23286.29
94,1600274100000,0.548,0.55,0.547,0.547,27899.98
95,1600274400000,0.548,0.549,0.545,0.547,48478.89
96,1600274700000,0.547,0.549,0.545,0.549,46493.73
97,1600275000000,0.547,0.551,0.547,0.55,20081.48
98,1600275300000,0.55,0.554,0.548,0.554,30617.07
99,1600275600000,0.553,0.554,0.55,0.552,37825.13
100,1600275900000,0.551,0.555,0.551,0.553,65299.69
101,1600276200000,0.553,0.555,0.552,0.555,29878.46
102,1600276500000,0.553,0.558,0.553,0.555,30176.81
103,1600276800000,0.557,0.558,0.555,0.558,19878.98
104,1600277100000,0.558,0.56,0.557,0.558,52932.76
105,1600277400000,0.558,0.558,0.555,0.555,47177.25
106,1600277700000,0.555,0.556,0.552,0.555,48428.94
107,1600278000000,0.557,0.557,0.55,0.55,76875.74
108,1600278300000,0.549,0.55,0.546,0.546,19478.77
109,1600278600000,0.548,0.55,0.547,0.549,29596.48
110,1600278900000,0.549,0.55,0.541,0.542,27781.52
111,1600279200000,0.544,0.549,0.54,0.548,85297.05
112,1600279500000,0.549,0.568,0.549,0.568,159135.93
113,1600279800000,0.566,0.577,0.565,0.568,98075.47
114,1600280100000,0.568,0.568,0.557,0.56,136682.74
115,1600280400000,0.561,0.563,0.558,0.559,99861.8
116,1600280700000,0.559,0.561,0.555,0.557,41270.05
117,1600281000000,0.556,0.56,0.554,0.559,29307.5
118,1600281300000,0.559,0.559,0.554,0.554,16727.05
119,1600281600000,0.557,0.557,0.546,0.551,44028.0
120,1600281900000,0.554,0.558,0.553,0.555,28027.52
121,1600282200000,0.557,0.563,0.554,0.563,59526.44
122,1600282500000,0.563,0.572,0.559,0.559,257853.21
123,1600282800000,0.559,0.561,0.556,0.561,67466.39
124,1600283100000,0.56,0.562,0.559,0.562,17327.35
125,1600283400000,0.564,0.573,0.563,0.573,183599.96
126,1600283700000,0.572,0.576,0.568,0.571,100632.14
127,1600284000000,0.571,0.573,0.57,0.573,23379.05
128,1600284300000,0.573,0.58,0.573,0.58,59171.02
129,1600284600000,0.58,0.583,0.577,0.58,50446.81
130,1600284900000,0.58,0.58,0.574,0.578,83538.38
131,1600285200000,0.578,0.583,0.578,0.583,29183.21
132,1600285500000,0.583,0.584,0.578,0.582,28409.05
133,1600285800000,0.582,0.584,0.58,0.584,45751.47
134,1600286100000,0.585,0.589,0.584,0.587,36243.28
135,1600286400000,0.588,0.599,0.585,0.596,165057.68
136,1600286700000,0.597,0.597,0.59,0.595,70374.63
137,1600287000000,0.595,0.597,0.593,0.597,40219.45
138,1600287300000,0.597,0.599,0.594,0.598,58632.63
139,1600287600000,0.598,0.604,0.596,0.598,126817.18
140,1600287900000,0.598,0.598,0.569,0.574,194939.1
141,1600288200000,0.577,0.577,0.563,0.571,128887.46
142,1600288500000,0.571,0.575,0.571,0.571,25938.91
143,1600288800000,0.571,0.571,0.566,0.569,23936.39
144,1600289100000,0.569,0.576,0.568,0.576,26622.83
145,1600289400000,0.576,0.577,0.572,0.574,29490.83
146,1600289700000,0.574,0.582,0.571,0.578,34408.46
147,1600290000000,0.578,0.58,0.576,0.578,52023.01
148,1600290300000,0.578,0.578,0.571,0.571,37055.82
149,1600290600000,0.57,0.57,0.558,0.566,58389.11
150,1600290900000,0.564,0.57,0.563,0.568,23072.23
151,1600291200000,0.569,0.575,0.568,0.574,11914.31
152,1600291500000,0.574,0.574,0.569,0.571,16072.82
153,1600291800000,0.573,0.575,0.572,0.572,12272.24
154,1600292100000,0.574,0.576,0.573,0.574,6845.82
155,1600292400000,0.575,0.577,0.574,0.577,19833.84
156,1600292700000,0.575,0.575,0.556,0.562,59098.72
157,1600293000000,0.56,0.566,0.56,0.565,12112.17
158,1600293300000,0.565,0.568,0.565,0.566,35676.11
159,1600293600000,0.566,0.571,0.566,0.571,5330.31
160,1600293900000,0.571,0.575,0.571,0.573,18284.92
161,1600294200000,0.576,0.576,0.566,0.57,21341.77
162,1600294500000,0.57,0.57,0.568,0.57,2030.16
163,1600294800000,0.567,0.57,0.566,0.569,9023.69
164,1600295100000,0.57,0.57,0.565,0.565,32954.36
165,1600295400000,0.566,0.566,0.566,0.566,1235.77
166,1600295700000,0.566,0.566,0.565,0.565,15676.09
167,1600296000000,0.565,0.565,0.563,0.564,22441.78
168,1600296300000,0.564,0.571,0.564,0.571,5836.78
169,1600296600000,0.573,0.575,0.568,0.568,8872.82
170,1600296900000,0.567,0.568,0.566,0.566,8634.1
171,1600297200000,0.566,0.567,0.565,0.566,4643.76
172,1600297500000,0.564,0.564,0.556,0.559,54288.51
