,timestamp,open,high,low,close,volume
0,1600198500000,0.8232,0.8262,0.8229,0.8235,47107.6
1,1600198800000,0.8236,0.8242,0.82,0.823,99816.48
2,1600199100000,0.8235,0.8287,0.8234,0.827,22964.38
3,1600199400000,0.8278,0.8307,0.8268,0.8298,25725.58
4,1600199700000,0.8294,0.8302,0.8272,0.8273,10949.72
5,1600200000000,0.8271,0.8293,0.8254,0.8293,24011.81
6,1600200300000,0.83,0.8331,0.8297,0.8321,92952.0
7,1600200600000,0.8324,0.8355,0.8318,0.8349,98458.0
8,1600200900000,0.8338,0.8365,0.8311,0.8355,267499.24
9,1600201200000,0.8351,0.8351,0.828,0.8284,73637.27
10,1600201500000,0.8288,0.8303,0.8273,0.8281,24970.58
11,1600201800000,0.8283,0.8307,0.828,0.8296,40502.23
12,1600202100000,0.8294,0.8298,0.8261,0.8268,46746.0
13,1600202400000,0.826,0.828,0.8249,0.8263,30225.03
14,1600202700000,0.8264,0.8275,0.8254,0.8269,24953.26
15,1600203000000,0.8265,0.8303,0.8265,0.8302,51960.52
16,1600203300000,0.83,0.83,0.827,0.8273,24166.14
17,1600203600000,0.828,0.828,0.8271,0.8272,6049.4
18,1600203900000,0.8271,0.8272,0.8222,0.8234,87985.19
19,1600204200000,0.8234,0.8236,0.8214,0.8214,20874.68
20,1600204500000,0.8218,0.8223,0.8198,0.8211,52821.45
21,1600204800000,0.8211,0.8211,0.8159,0.8166,59084.34
22,1600205100000,0.817,0.817,0.81,0.8118,155283.84
23,1600205400000,0.8118,0.8141,0.8117,0.8141,19236.68
24,1600205700000,0.8143,0.8165,0.8141,0.8146,36000.39
25,1600206000000,0.8154,0.817,0.8149,0.8165,20073.3
26,1600206300000,0.8164,0.8178,0.8158,0.8164,17829.43
27,1600206600000,0.8164,0.8181,0.8115,0.8126,38022.16
28,1600206900000,0.8132,0.8143,0.8125,0.8142,15969.88
29,1600207200000,0.8147,0.8161,0.811,0.8117,92782.93
30,1600207500000,0.8116,0.8116,0.8101,0.8108,20440.86
31,1600207800000,0.8113,0.8141,0.8105,0.8137,48961.89
32,1600208100000,0.8138,0.8141,0.8084,0.8089,83565.18
33,1600208400000,0.809,0.8095,0.8046,0.806,229202.41
34,1600208700000,0.8058,0.8117,0.8056,0.8115,55633.65
35,1600209000000,0.8112,0.8112,0.8041,0.8074,87739.69
36,1600209300000,0.808,0.8094,0.8078,0.8087,17992.09
