,timestamp,open,high,low,close,volume
0,1600167000000,2.643,2.645,2.636,2.636,10197.7
1,1600167300000,2.637,2.657,2.637,2.643,19066.346
2,1600167600000,2.641,2.643,2.632,2.641,12220.998
3,1600167900000,2.64,2.643,2.638,2.64,8053.001
4,1600168200000,2.638,2.64,2.626,2.634,7905.906
5,1600168500000,2.635,2.639,2.621,2.622,19210.865
6,1600168800000,2.623,2.63,2.622,2.622,10785.58
7,1600169100000,2.623,2.633,2.623,2.631,10055.641
8,1600169400000,2.631,2.632,2.62,2.622,7197.528
9,1600169700000,2.621,2.628,2.612,2.628,25121.398
10,1600170000000,2.629,2.632,2.625,2.632,6382.113
11,1600170300000,2.631,2.637,2.626,2.626,16275.236
12,1600170600000,2.625,2.631,2.624,2.631,5005.086
13,1600170900000,2.632,2.634,2.628,2.629,4723.233
14,1600171200000,2.629,2.638,2.629,2.633,6030.838
15,1600171500000,2.631,2.642,2.63,2.634,17023.919
16,1600171800000,2.632,2.644,2.631,2.643,9286.219
17,1600172100000,2.642,2.643,2.634,2.638,4754.111
18,1600172400000,2.637,2.642,2.637,2.64,3023.285
19,1600172700000,2.641,2.643,2.636,2.64,6376.139
20,1600173000000,2.64,2.65,2.626,2.63,22609.071
21,1600173300000,2.631,2.642,2.629,2.634,25000.122
22,1600173600000,2.635,2.641,2.633,2.637,8688.219
23,1600173900000,2.635,2.637,2.63,2.63,8531.889
24,1600174200000,2.628,2.632,2.625,2.626,6154.665
25,1600174500000,2.625,2.635,2.62,2.626,14351.588
26,1600174800000,2.626,2.629,2.619,2.619,8571.25
27,1600175100000,2.619,2.622,2.612,2.613,8486.394
28,1600175400000,2.614,2.625,2.614,2.62,8805.23
29,1600175700000,2.622,2.627,2.615,2.619,19671.116
30,1600176000000,2.62,2.624,2.611,2.614,11350.314
31,1600176300000,2.615,2.619,2.61,2.615,9942.935
32,1600176600000,2.614,2.62,2.61,2.615,6809.696
33,1600176900000,2.614,2.614,2.602,2.602,29030.075
34,1600177200000,2.602,2.616,2.595,2.61,28528.622
35,1600177500000,2.608,2.608,2.6,2.602,4729.829
36,1600177800000,2.598,2.598,2.58,2.592,19386.659
37,1600178100000,2.591,2.593,2.564,2.567,42104.51
38,1600178400000,2.569,2.578,2.563,2.57,23559.902
39,1600178700000,2.572,2.587,2.569,2.571,21968.57
40,1600179000000,2.571,2.574,2.561,2.566,10953.298
41,1600179300000,2.566,2.569,2.563,2.567,9543.1
42,1600179600000,2.568,2.57,2.553,2.56,21207.608
43,1600179900000,2.559,2.565,2.544,2.56,50515.97
44,1600180200000,2.561,2.573,2.561,2.572,8374.19
45,1600180500000,2.571,2.575,2.56,2.564,11244.764
46,1600180800000,2.564,2.564,2.549,2.549,9757.144
