,timestamp,open,high,low,close,volume
0,1600198500000,0.3603,0.3611,0.3601,0.3606,252.7
1,1600198800000,0.3611,0.3611,0.3608,0.3609,241.97
2,1600199100000,0.3607,0.3607,0.3604,0.3605,193.85
3,1600199400000,0.3604,0.3611,0.3604,0.3611,1679.88
4,1600199700000,0.3612,0.3625,0.3612,0.3625,228.36
5,1600200000000,0.3625,0.3627,0.3625,0.3627,2425.27
6,1600200300000,0.3628,0.3628,0.3597,0.3611,10701.22
7,1600200600000,0.3612,0.3625,0.3611,0.3625,1241.33
8,1600200900000,0.3619,0.3619,0.3618,0.3618,270.2
9,1600201200000,0.3618,0.3618,0.3618,0.3618,0.0
10,1600201500000,0.3621,0.3621,0.362,0.362,97.0
11,1600201800000,0.3621,0.3623,0.3621,0.3623,166.84
12,1600202100000,0.3623,0.3623,0.3623,0.3623,55.0
13,1600202400000,0.3637,0.3672,0.3637,0.3671,8223.3
14,1600202700000,0.3671,0.3676,0.365,0.3658,16995.58
15,1600203000000,0.3659,0.3668,0.3659,0.3668,757.81
16,1600203300000,0.3656,0.3659,0.3656,0.3659,212.72
17,1600203600000,0.3655,0.366,0.3655,0.366,586.66
18,1600203900000,0.366,0.366,0.3631,0.365,2844.87
19,1600204200000,0.3616,0.3616,0.3616,0.3616,33.47
20,1600204500000,0.3619,0.3644,0.3619,0.3626,246.86
21,1600204800000,0.3625,0.3625,0.3621,0.3624,4390.45
22,1600205100000,0.3627,0.3644,0.3604,0.3604,4953.68
23,1600205400000,0.3596,0.3601,0.3571,0.3593,1898.04
24,1600205700000,0.3593,0.3593,0.3578,0.3581,8329.76
25,1600206000000,0.3595,0.3595,0.3594,0.3595,97.65
26,1600206300000,0.3597,0.3598,0.3596,0.3598,185.47
27,1600206600000,0.3599,0.36,0.3598,0.3598,212.61
28,1600206900000,0.3598,0.3598,0.3578,0.3579,811.87
29,1600207200000,0.3584,0.361,0.3584,0.361,762.56
30,1600207500000,0.362,0.362,0.3617,0.3619,624.74
31,1600207800000,0.362,0.362,0.3618,0.362,148.81
32,1600208100000,0.3618,0.3619,0.3617,0.3617,369.2
33,1600208400000,0.3617,0.3617,0.3616,0.3617,130.53
34,1600208700000,0.3617,0.3617,0.3607,0.3612,191.43
35,1600209000000,0.3613,0.3614,0.3613,0.3614,135.71
36,1600209300000,0.3639,0.3644,0.3627,0.3627,3466.47
37,1600209600000,0.3627,0.3629,0.3627,0.3629,182.74
38,1600209900000,0.3628,0.363,0.3628,0.363,124.1
39,1600210200000,0.363,0.363,0.363,0.363,130.8
40,1600210500000,0.363,0.3631,0.3612,0.3626,444.87
41,1600210800000,0.3626,0.3627,0.3626,0.3627,107.88
42,1600211100000,0.3627,0.3628,0.3617,0.3619,216.99
43,1600211400000,0.3619,0.3622,0.3603,0.3615,650.51
44,1600211700000,0.3615,0.3615,0.3612,0.3612,383.0
45,1600212000000,0.3611,0.3611,0.3606,0.3606,127.86
46,1600212300000,0.3605,0.3605,0.3584,0.3596,1143.9
47,1600212600000,0.3597,0.3597,0.3594,0.3595,128.79
48,1600212900000,0.3593,0.3593,0.3592,0.3592,135.59
49,1600213200000,0.3592,0.3595,0.3584,0.3587,250.42
50,1600213500000,0.3588,0.3588,0.3587,0.3588,138.77
51,1600213800000,0.359,0.3611,0.359,0.3596,171.23
52,1600214100000,0.3597,0.3597,0.3596,0.3596,176.76
53,1600214400000,0.3611,0.3612,0.3589,0.3601,648.48
54,1600214700000,0.3602,0.3602,0.3573,0.3573,671.68
55,1600215000000,0.3581,0.3581,0.355,0.355,730.27
56,1600215300000,0.355,0.355,0.354,0.354,855.16
57,1600215600000,0.3532,0.3554,0.3531,0.3547,524.42
58,1600215900000,0.3545,0.3545,0.3529,0.3541,3950.06
59,1600216200000,0.3538,0.3538,0.3384,0.34,76644.31
60,1600216500000,0.3389,0.3414,0.3388,0.3414,2049.81
61,1600216800000,0.341,0.341,0.3387,0.3387,6703.6
62,1600217100000,0.3386,0.3402,0.338,0.3392,3356.68
63,1600217400000,0.3393,0.3397,0.3389,0.3397,8808.3
64,1600217700000,0.34,0.3406,0.3398,0.3398,479.46
65,1600218000000,0.3404,0.342,0.3399,0.342,2537.69
66,1600218300000,0.3403,0.3413,0.3403,0.3413,533.63
67,1600218600000,0.3412,0.3426,0.3403,0.341,1232.14
68,1600218900000,0.3407,0.3407,0.3398,0.3398,311.83
69,1600219200000,0.3399,0.3406,0.3399,0.3401,285.13
70,1600219500000,0.3408,0.3409,0.3387,0.3387,1963.11
71,1600219800000,0.3396,0.3407,0.3396,0.3403,1924.35
72,1600220100000,0.3406,0.341,0.3404,0.3407,385.46
73,1600220400000,0.3407,0.341,0.3407,0.341,2268.14
74,1600220700000,0.3408,0.3408,0.3403,0.3408,160.89
75,1600221000000,0.3419,0.3426,0.3414,0.3426,1032.19
76,1600221300000,0.3426,0.3426,0.3407,0.342,984.99
77,1600221600000,0.3448,0.3452,0.3434,0.3435,2301.18
78,1600221900000,0.3435,0.3435,0.3409,0.3435,3646.92
79,1600222200000,0.3435,0.3448,0.3401,0.341,1125.0
80,1600222500000,0.3411,0.3411,0.3408,0.3408,199.28
81,1600222800000,0.3408,0.3411,0.3407,0.3411,406.37
82,1600223100000,0.3405,0.3406,0.3382,0.3398,2327.78
83,1600223400000,0.3398,0.3399,0.3388,0.3388,1098.44
84,1600223700000,0.3388,0.3388,0.338,0.338,2598.1
85,1600224000000,0.3382,0.3408,0.338,0.338,8400.64
86,1600224300000,0.3382,0.3404,0.3382,0.3404,891.15
87,1600224600000,0.3404,0.3404,0.3379,0.3404,4372.15
88,1600224900000,0.3404,0.3469,0.3404,0.3465,46996.33
89,1600225200000,0.3484,0.3495,0.3467,0.3467,2645.87
90,1600225500000,0.3467,0.3467,0.3453,0.3464,2093.18
91,1600225800000,0.3465,0.3465,0.3453,0.3456,9624.37
92,1600226100000,0.3456,0.3456,0.3438,0.3438,81.14
93,1600226400000,0.3433,0.3436,0.3418,0.3418,3076.87
94,1600226700000,0.3431,0.3432,0.3429,0.3432,489.94
95,1600227000000,0.3435,0.3438,0.3418,0.342,5375.97
96,1600227300000,0.3418,0.3446,0.3418,0.3446,17033.68
97,1600227600000,0.3436,0.3436,0.3433,0.3434,3477.27
98,1600227900000,0.3435,0.3436,0.3421,0.3421,1222.28
99,1600228200000,0.3424,0.3424,0.3424,0.3424,45.0
100,1600228500000,0.3424,0.3424,0.3423,0.3423,2687.35
101,1600228800000,0.3444,0.3444,0.3428,0.3428,445.83
102,1600229100000,0.3423,0.3423,0.3421,0.3421,2497.66
103,1600229400000,0.3419,0.3419,0.3414,0.3415,762.81
104,1600229700000,0.342,0.3425,0.3419,0.3425,1850.5
105,1600230000000,0.3422,0.3422,0.341,0.3422,2163.32
106,1600230300000,0.3418,0.3429,0.3409,0.3423,2756.89
107,1600230600000,0.3427,0.3427,0.3425,0.3425,65.73
108,1600230900000,0.343,0.3446,0.343,0.3446,4897.69
109,1600231200000,0.3431,0.3433,0.3431,0.3433,323.35
110,1600231500000,0.3434,0.3437,0.3433,0.3433,196.2
111,1600231800000,0.3431,0.3433,0.3429,0.343,670.51
112,1600232100000,0.3431,0.344,0.3431,0.3438,761.56
113,1600232400000,0.3439,0.3439,0.3436,0.3436,244.7
114,1600232700000,0.3437,0.3463,0.3437,0.3463,20663.82
115,1600233000000,0.3456,0.3468,0.3456,0.3468,380.77
116,1600233300000,0.3476,0.3485,0.3476,0.3485,1095.34
117,1600233600000,0.3479,0.3483,0.3478,0.3478,1261.9
118,1600233900000,0.3482,0.3486,0.3467,0.3467,1749.47
119,1600234200000,0.3468,0.3468,0.3452,0.3452,530.0
120,1600234500000,0.3462,0.3468,0.3462,0.3468,1938.18
121,1600234800000,0.3469,0.3469,0.3457,0.3463,1046.74
122,1600235100000,0.3463,0.3463,0.345,0.345,172.34
123,1600235400000,0.3451,0.3453,0.3451,0.3453,144.07
124,1600235700000,0.3455,0.3473,0.3448,0.3449,7219.41
125,1600236000000,0.347,0.347,0.3459,0.346,538.15
126,1600236300000,0.3459,0.3459,0.3448,0.3452,857.36
127,1600236600000,0.3449,0.3449,0.343,0.3437,1435.7
128,1600236900000,0.3429,0.3448,0.3427,0.3446,1573.63
129,1600237200000,0.3422,0.343,0.3421,0.343,1736.41
130,1600237500000,0.3429,0.3431,0.3429,0.3431,422.95
131,1600237800000,0.3429,0.343,0.3429,0.343,85.0
132,1600238100000,0.3431,0.3438,0.3431,0.3438,116.2
133,1600238400000,0.345,0.3451,0.345,0.345,399.99
134,1600238700000,0.3448,0.3455,0.3438,0.3444,1019.13
135,1600239000000,0.3443,0.345,0.3443,0.345,750.23
136,1600239300000,0.3437,0.3437,0.3432,0.3434,2564.21
137,1600239600000,0.3435,0.3456,0.3435,0.345,608.52
138,1600239900000,0.3442,0.3442,0.343,0.3438,2391.56
139,1600240200000,0.3442,0.3478,0.3439,0.3476,23472.56
140,1600240500000,0.3478,0.3478,0.3473,0.3477,3272.87
141,1600240800000,0.3479,0.3479,0.3474,0.3474,957.83
142,1600241100000,0.3474,0.3483,0.3474,0.3483,670.54
143,1600241400000,0.3484,0.3496,0.3481,0.3492,4216.03
144,1600241700000,0.349,0.35,0.349,0.35,798.48
145,1600242000000,0.3485,0.3499,0.3479,0.3484,2476.35
146,1600242300000,0.3479,0.3479,0.3472,0.3475,690.34
147,1600242600000,0.3475,0.3475,0.3473,0.3473,191.34
148,1600242900000,0.3473,0.3498,0.3473,0.3497,138.09
149,1600243200000,0.3498,0.3506,0.348,0.348,1328.95
150,1600243500000,0.348,0.349,0.3475,0.3475,678.93
151,1600243800000,0.3475,0.3479,0.3475,0.3479,2496.72
152,1600244100000,0.3493,0.3502,0.3493,0.3502,174.48
153,1600244400000,0.3498,0.3498,0.3496,0.3496,135.95
154,1600244700000,0.3494,0.3495,0.3494,0.3494,177.92
155,1600245000000,0.3494,0.3494,0.3488,0.3488,589.94
156,1600245300000,0.3488,0.3492,0.3488,0.349,690.47
157,1600245600000,0.3487,0.3491,0.348,0.348,285.79
158,1600245900000,0.3486,0.3489,0.3465,0.3489,3379.38
159,1600246200000,0.3485,0.3485,0.3473,0.3473,275.53
160,1600246500000,0.3474,0.3474,0.3463,0.3471,5050.34
161,1600246800000,0.347,0.347,0.3461,0.3463,4608.79
162,1600247100000,0.3465,0.3482,0.3456,0.3472,715.97
163,1600247400000,0.3466,0.3466,0.3464,0.3466,160.0
164,1600247700000,0.3465,0.3479,0.3456,0.3474,970.85
165,1600248000000,0.3474,0.3489,0.3474,0.3478,633.99
166,1600248300000,0.3479,0.348,0.3479,0.348,77.41
167,1600248600000,0.3481,0.3494,0.3481,0.3487,292.76
168,1600248900000,0.3474,0.3493,0.3474,0.3483,510.4
169,1600249200000,0.3482,0.3483,0.3482,0.3483,1593.56
170,1600249500000,0.3482,0.3484,0.3482,0.3484,911.06
171,1600249800000,0.3485,0.3485,0.348,0.348,902.76
172,1600250100000,0.3496,0.3496,0.3478,0.3478,146.48
173,1600250400000,0.3486,0.3497,0.3486,0.3489,2727.85
174,1600250700000,0.3489,0.3496,0.3488,0.3496,202.26
175,1600251000000,0.3491,0.3496,0.3488,0.3488,445.02
176,1600251300000,0.3489,0.3489,0.3488,0.3488,13603.24
177,1600251600000,0.3489,0.3489,0.3489,0.3489,207.68
178,1600251900000,0.3489,0.3489,0.3489,0.3489,0.0
179,1600252200000,0.3488,0.3488,0.3465,0.3465,262.66
180,1600252500000,0.3471,0.3471,0.3456,0.3465,352.53
181,1600252800000,0.3466,0.3469,0.3466,0.3466,1351.1
182,1600253100000,0.3465,0.3469,0.3465,0.3466,364.9
183,1600253400000,0.3466,0.3466,0.3466,0.3466,180.6
184,1600253700000,0.3466,0.3466,0.3466,0.3466,0.0
185,1600254000000,0.3463,0.348,0.3463,0.347,1946.95
186,1600254300000,0.347,0.347,0.3468,0.3468,124.77
187,1600254600000,0.347,0.347,0.3469,0.347,135.53
188,1600254900000,0.3469,0.3469,0.3468,0.3469,168.95
