,timestamp,open,high,low,close,volume
0,1600245900000,90.69,90.86,90.67,90.74,135.75436
1,1600246200000,90.74,90.74,90.61,90.61,152.2286
2,1600246500000,90.61,90.71,90.59,90.68,170.30227
3,1600246800000,90.68,90.83,90.59,90.83,362.5821
4,1600247100000,90.86,90.88,90.58,90.6,522.78389
5,1600247400000,90.61,90.67,90.4,90.51,1090.59102
6,1600247700000,90.52,90.57,90.48,90.53,97.07001
7,1600248000000,90.53,90.53,90.2,90.5,366.03238
8,1600248300000,90.51,90.84,90.51,90.74,504.52736
9,1600248600000,90.72,90.85,90.68,90.75,170.58584
10,1600248900000,90.8,91.1,90.73,90.88,266.19799
11,1600249200000,90.88,90.96,90.78,90.83,139.08725
12,1600249500000,90.83,90.95,90.77,90.95,110.322
13,1600249800000,90.91,90.99,90.85,90.88,146.38812
14,1600250100000,90.92,90.94,90.82,90.84,116.49944
15,1600250400000,90.84,91.11,90.82,90.84,260.68756
16,1600250700000,90.9,91.0,90.81,90.98,156.47955
17,1600251000000,90.99,90.99,90.85,90.91,147.54977
18,1600251300000,90.86,90.86,90.57,90.67,385.14959
19,1600251600000,90.67,90.79,90.53,90.53,143.39643
20,1600251900000,90.51,90.53,90.23,90.24,273.52814
21,1600252200000,90.19,90.3,90.1,90.23,191.74945
22,1600252500000,90.15,90.21,90.03,90.03,695.97091
23,1600252800000,90.07,90.27,90.04,90.14,396.07738
24,1600253100000,90.17,90.17,90.1,90.17,46.15056
25,1600253400000,90.19,90.2,89.71,89.88,749.48053
26,1600253700000,89.87,90.01,89.75,89.84,452.87339
27,1600254000000,89.81,90.48,89.78,90.47,586.90761
28,1600254300000,90.51,90.54,90.39,90.46,76.68741
29,1600254600000,90.48,90.58,90.39,90.43,249.65466
30,1600254900000,90.41,90.61,90.41,90.58,91.934
31,1600255200000,90.62,90.62,90.29,90.45,234.85246
32,1600255500000,90.43,90.49,90.33,90.33,216.70689
33,1600255800000,90.36,90.41,90.18,90.29,537.61503
34,1600256100000,90.27,90.32,89.95,90.06,521.4895
35,1600256400000,90.03,90.09,89.77,89.82,567.66856
36,1600256700000,89.82,89.88,89.8,89.85,102.77747
37,1600257000000,89.85,90.22,89.78,90.22,349.93846
38,1600257300000,90.31,90.7,90.2,90.61,391.9929
39,1600257600000,90.7,91.07,90.31,90.38,505.56029
40,1600257900000,90.4,90.47,90.14,90.2,195.09719
41,1600258200000,90.19,90.34,90.19,90.34,82.51161
42,1600258500000,90.36,90.46,90.22,90.39,166.0474
43,1600258800000,90.38,90.52,90.31,90.34,196.64595
44,1600259100000,90.34,90.81,90.33,90.72,230.26043
45,1600259400000,90.72,90.93,90.67,90.75,155.57817
46,1600259700000,90.73,91.0,90.73,90.91,318.00307
47,1600260000000,90.91,90.91,90.56,90.58,215.25417
48,1600260300000,90.59,90.91,90.59,90.74,271.10214
49,1600260600000,90.75,90.8,90.54,90.54,192.77987
50,1600260900000,90.6,90.66,90.47,90.54,255.84321
51,1600261200000,90.61,90.65,90.39,90.42,139.289
52,1600261500000,90.37,90.59,90.34,90.43,78.52382
53,1600261800000,90.45,90.85,90.43,90.76,181.78311
54,1600262100000,90.73,90.76,90.57,90.6,182.544
55,1600262400000,90.62,90.7,90.46,90.48,270.60767
56,1600262700000,90.52,90.52,90.41,90.41,78.66228
57,1600263000000,90.45,90.72,90.4,90.49,295.03675
58,1600263300000,90.46,90.73,90.46,90.58,379.88047
59,1600263600000,90.62,90.69,90.41,90.41,236.84987
60,1600263900000,90.41,90.41,90.27,90.3,64.19724
61,1600264200000,90.28,90.35,90.26,90.26,73.02351
62,1600264500000,90.25,90.3,90.18,90.3,89.05337
63,1600264800000,90.32,90.51,90.16,90.17,624.65059
64,1600265100000,90.13,90.18,90.08,90.15,88.74855
65,1600265400000,90.15,90.24,90.14,90.2,244.08452
66,1600265700000,90.23,90.23,90.12,90.17,63.34662
67,1600266000000,90.16,90.16,90.11,90.16,98.07542
68,1600266300000,90.16,90.2,89.96,89.99,88.52216
69,1600266600000,89.95,90.0,89.84,89.86,239.78045
70,1600266900000,89.87,89.9,89.86,89.88,84.53246
