,timestamp,open,high,low,close,volume
0,1600198500000,60.37,60.45,60.29,60.44,486.22458
1,1600198800000,60.36,60.36,60.2,60.2,218.74943
2,1600199100000,60.21,60.38,60.2,60.34,376.95717
3,1600199400000,60.34,60.52,60.31,60.47,191.90655
4,1600199700000,60.45,60.49,60.39,60.39,217.578
5,1600200000000,60.4,60.55,60.37,60.42,308.29788
6,1600200300000,60.47,60.49,60.36,60.44,255.96793
7,1600200600000,60.42,60.82,60.24,60.64,1672.73937
8,1600200900000,60.64,60.96,60.64,60.82,1386.55586
9,1600201200000,60.85,60.85,60.56,60.56,345.90293
10,1600201500000,60.53,60.62,60.45,60.45,103.37797
11,1600201800000,60.46,60.56,60.42,60.5,385.37582
12,1600202100000,60.5,60.58,60.41,60.51,266.68295
13,1600202400000,60.52,60.65,60.51,60.57,485.15879
14,1600202700000,60.56,60.6,60.47,60.48,262.07096
15,1600203000000,60.51,60.7,60.4,60.7,280.23539
16,1600203300000,60.69,60.69,60.49,60.61,289.14646
17,1600203600000,60.6,60.64,60.39,60.39,255.76126
18,1600203900000,60.39,60.44,60.3,60.37,219.56834
19,1600204200000,60.36,60.36,60.27,60.35,107.25178
20,1600204500000,60.37,60.37,60.31,60.33,47.30224
21,1600204800000,60.31,60.31,60.2,60.2,53.84442
22,1600205100000,60.22,60.22,60.06,60.07,171.71244
23,1600205400000,60.08,60.21,60.04,60.18,433.1478
24,1600205700000,60.17,60.32,60.15,60.32,303.59757
25,1600206000000,60.32,60.42,60.22,60.22,403.28761
26,1600206300000,60.22,60.24,60.18,60.23,198.60504
27,1600206600000,60.23,60.34,60.08,60.08,561.64556
28,1600206900000,60.09,60.22,60.09,60.18,257.86625
29,1600207200000,60.18,60.25,60.06,60.12,359.59977
30,1600207500000,60.12,60.12,59.92,59.94,808.30424
31,1600207800000,59.95,60.03,59.81,59.98,1401.39425
32,1600208100000,59.96,60.03,59.7,59.76,680.98117
33,1600208400000,59.74,59.83,59.5,59.58,908.56506
34,1600208700000,59.58,59.86,59.38,59.86,1193.68466
35,1600209000000,59.84,59.84,59.56,59.69,494.15603
36,1600209300000,59.7,59.7,59.43,59.51,523.03731
37,1600209600000,59.53,59.53,59.15,59.21,905.67125
38,1600209900000,59.2,59.29,59.11,59.2,680.77337
39,1600210200000,59.17,59.36,59.06,59.26,783.98109
40,1600210500000,59.23,59.27,58.83,59.05,1239.0486
41,1600210800000,59.04,59.13,58.68,58.78,1009.90554
42,1600211100000,58.78,59.11,58.76,59.06,854.82922
43,1600211400000,59.1,59.28,59.04,59.26,799.46891
44,1600211700000,59.27,59.31,59.1,59.15,406.22592
45,1600212000000,59.14,59.16,58.96,59.1,457.14504
46,1600212300000,59.08,59.16,59.02,59.11,289.46354
47,1600212600000,59.09,59.44,59.04,59.36,647.60543
